video_id,frame_index,timestamp_sec,joint_name,speed_ms,velocity_x,velocity_y,velocity_z,accel_ms2,jerk_ms3,reference_valid
KVAL0013,0,0.0,Neck,0.006757,-0.003,-0.00405,0.0045,0.073922,0.411695,True
KVAL0013,1,0.301866,Neck,0.004293,-0.00189,-0.002595,0.00285,0.087635,0.14418,True
KVAL0013,2,0.3352,Neck,0.000915,-0.00039,-0.00057,0.0006,0.064393,1.10883,True
KVAL0013,3,0.3685,Neck,0.0,0.0,0.0,0.0,0.013723,0.965893,True
KVAL0013,4,0.401844,Neck,0.0,0.0,0.0,0.0,0.0,0.205847,True
KVAL0013,5,0.435166,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,6,0.4685,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,7,0.501833,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,8,0.535177,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,9,0.568511,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,10,0.601844,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,11,0.635166,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,12,0.668511,Neck,0.0,0.0,0.0,0.0,0.0,85.512165,True
KVAL0013,13,0.701844,Neck,0.0,0.0,0.0,0.0,5.700811,85.587057,True
KVAL0013,14,0.735177,Neck,0.380054,0.078885,0.05109,0.36825,5.705804,170.949736,True
KVAL0013,15,0.7685,Neck,0.380387,0.079755,0.051135,0.3684,5.695845,171.174114,True
KVAL0013,16,0.801844,Neck,0.000884,0.00087,4.5e-05,0.00015,5.705804,85.363575,True
KVAL0013,17,0.835166,Neck,0.0,0.0,0.0,0.0,0.01326,85.587057,True
KVAL0013,18,0.8685,Neck,0.0,0.0,0.0,0.0,0.0,0.198896,True
KVAL0013,19,0.901844,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,20,0.935177,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,21,0.968522,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,22,1.001855,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,23,1.035188,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,24,1.068533,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,25,1.101866,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,26,1.135166,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,27,1.1685,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,28,1.201844,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,29,1.235177,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,30,1.268511,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,31,1.301855,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,32,1.335177,Neck,0.0,0.0,0.0,0.0,0.0,3.134583,True
KVAL0013,33,1.368511,Neck,0.0,0.0,0.0,0.0,0.208972,36.902569,True
KVAL0013,34,1.401833,Neck,0.013931,0.013755,-0.00069,0.0021,2.460171,15.300372,True
KVAL0013,35,1.435177,Neck,0.164011,-0.019365,0.122565,-0.10725,0.88751,114.33812,True
KVAL0013,36,1.4685,Neck,0.052588,-0.011685,0.003555,-0.05115,5.170619,45.770984,True
KVAL0013,37,1.501844,Neck,0.182237,0.05007,-0.14301,0.10125,2.165025,114.547433,True
KVAL0013,38,1.535177,Neck,0.093376,0.046305,-0.014385,0.0798,2.523116,53.371525,True
KVAL0013,39,1.568522,Neck,0.041916,0.01773,0.009,0.0369,1.398448,36.89669,True
KVAL0013,40,1.601833,Neck,0.000178,6e-05,7.5e-05,0.00015,0.628742,22.772745,True
KVAL0013,41,1.635177,Neck,0.0,0.0,0.0,0.0,1.583334,21.551861,True
KVAL0013,42,1.6685,Neck,0.105571,-0.017115,0.099105,-0.0321,1.426586,69.113786,True
KVAL0013,43,1.701844,Neck,0.095106,-0.008865,0.086355,-0.03885,3.069034,62.977915,True
KVAL0013,44,1.735166,Neck,0.108035,0.031635,-0.064485,0.0807,2.82396,70.04475,True
KVAL0013,45,1.768511,Neck,0.103111,0.02397,-0.04962,0.08715,1.640472,64.862952,True
KVAL0013,46,1.801844,Neck,0.002215,0.000585,0.002115,-0.0003,1.546661,24.912649,True
KVAL0013,47,1.835177,Neck,0.0,0.0,0.0,0.0,0.033222,23.19992,True
KVAL0013,48,1.8685,Neck,0.0,0.0,0.0,0.0,0.0,0.498336,True
KVAL0013,49,1.901833,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL0013,50,1.935177,Neck,0.0,0.0,0.0,0.0,0.0,12.563453,True
KVAL0013,51,1.968511,Neck,0.0,0.0,0.0,0.0,0.837564,12.568223,True
KVAL0013,52,2.001844,Neck,0.055838,-0.008685,0.03945,-0.03855,0.837882,25.122138,True
KVAL0013,53,2.035177,Neck,0.055859,-0.008685,0.03948,-0.03855,0.837246,25.136446,True
KVAL0013,54,2.068511,Neck,3e-05,0.0,3e-05,0.0,0.837882,12.553919,True
KVAL0013,55,2.101855,Neck,0.0,0.0,0.0,0.0,0.00045,12.568223,True
KVAL0013,56,2.135177,Neck,0.0,0.0,0.0,0.0,0.0,8.362079,True
KVAL0013,57,2.168511,Neck,0.0,0.0,0.0,0.0,0.557777,8.613471,True
KVAL0013,58,2.201833,Neck,0.037185,0.00441,-0.025185,0.027,0.574231,16.496412,True
