joint_name,mean_confidence,median_confidence,std_confidence,count_none,count_low,count_medium,count_high,total,reference_valid_ratio
PELVIS,2.000,2.000,0.000,0,0,135,0,135,1.0000
SPINE_NAVAL,2.000,2.000,0.000,0,0,135,0,135,1.0000
SPINE_CHEST,2.000,2.000,0.000,0,0,135,0,135,1.0000
NECK,2.000,2.000,0.000,0,0,135,0,135,1.0000
CLAVICLE_LEFT,2.000,2.000,0.000,0,0,135,0,135,1.0000
SHOULDER_LEFT,2.000,2.000,0.000,0,0,135,0,135,1.0000
ELBOW_LEFT,2.000,2.000,0.000,0,0,135,0,135,1.0000
WRIST_LEFT,1.348,1.000,0.476,0,88,47,0,135,0.3481
CLAVICLE_RIGHT,1.007,1.000,0.086,0,134,1,0,135,0.0074
SHOULDER_RIGHT,1.000,1.000,0.000,0,135,0,0,135,0.0000
ELBOW_RIGHT,1.000,1.000,0.000,0,135,0,0,135,0.0000
WRIST_RIGHT,2.000,2.000,0.000,0,0,135,0,135,1.0000
HIP_LEFT,2.000,2.000,0.000,0,0,135,0,135,1.0000
KNEE_LEFT,2.000,2.000,0.000,0,0,135,0,135,1.0000
ANKLE_LEFT,2.000,2.000,0.000,0,0,135,0,135,1.0000
FOOT_LEFT,2.000,2.000,0.000,0,0,135,0,135,1.0000
HIP_RIGHT,2.000,2.000,0.000,0,0,135,0,135,1.0000
KNEE_RIGHT,2.000,2.000,0.000,0,0,135,0,135,1.0000
ANKLE_RIGHT,2.000,2.000,0.000,0,0,135,0,135,1.0000
FOOT_RIGHT,1.000,1.000,0.000,0,135,0,0,135,0.0000
HEAD,1.000,1.000,0.000,0,135,0,0,135,0.0000
NOSE,1.000,1.000,0.000,0,135,0,0,135,0.0000
EYE_LEFT,2.000,2.000,0.000,0,0,135,0,135,1.0000
EAR_LEFT,1.052,1.000,0.222,0,128,7,0,135,0.0519
EYE_RIGHT,1.015,1.000,0.121,0,133,2,0,135,0.0148
EAR_RIGHT,1.015,1.000,0.121,0,133,2,0,135,0.0148
WRIST_THUMB_LEFT,2.000,2.000,0.000,0,0,135,0,135,1.0000
BICEPS_LEFT,2.000,2.000,0.000,0,0,135,0,135,1.0000
WRIST_THUMB_RIGHT,2.000,2.000,0.000,0,0,135,0,135,1.0000
BICEPS_RIGHT,2.000,2.000,0.000,0,0,135,0,135,1.0000
BACK_LEFT,2.000,2.000,0.000,0,0,135,0,135,1.0000
BACK_RIGHT,2.000,2.000,0.000,0,0,135,0,135,1.0000
