bone_name,mean_length_m,std_length_m,cv,stable
neck_to_head,1.1428,0.0268,0.0235,True
neck_to_l_clavicle,0.0480,0.0023,0.0482,True
l_clavicle_to_shoulder,0.1400,0.0067,0.0482,True
l_shoulder_to_elbow,0.2706,0.0130,0.0482,True
l_elbow_to_wrist,0.2271,0.0110,0.0482,True
neck_to_r_clavicle,0.5699,0.0243,0.0425,True
r_clavicle_to_shoulder,0.1058,0.0051,0.0482,True
r_shoulder_to_elbow,0.0403,0.0102,0.2538,True
r_elbow_to_wrist,0.5519,0.0213,0.0386,True
