joint_name,mean_confidence,median_confidence,std_confidence,count_none,count_low,count_medium,count_high,total,reference_valid_ratio
PELVIS,2.000,2.000,0.000,0,0,306,0,306,1.0000
SPINE_NAVAL,2.000,2.000,0.000,0,0,306,0,306,1.0000
SPINE_CHEST,2.000,2.000,0.000,0,0,306,0,306,1.0000
NECK,2.000,2.000,0.000,0,0,306,0,306,1.0000
CLAVICLE_LEFT,1.997,2.000,0.057,0,1,305,0,306,0.9967
SHOULDER_LEFT,1.997,2.000,0.057,0,1,305,0,306,0.9967
ELBOW_LEFT,1.879,2.000,0.326,0,37,269,0,306,0.8791
WRIST_LEFT,1.379,1.000,0.485,0,190,116,0,306,0.3791
CLAVICLE_RIGHT,1.265,1.000,0.441,0,225,81,0,306,0.2647
SHOULDER_RIGHT,1.235,1.000,0.424,0,234,72,0,306,0.2353
ELBOW_RIGHT,1.235,1.000,0.424,0,234,72,0,306,0.2353
WRIST_RIGHT,2.000,2.000,0.000,0,0,306,0,306,1.0000
HIP_LEFT,2.000,2.000,0.000,0,0,306,0,306,1.0000
KNEE_LEFT,1.993,2.000,0.081,0,2,304,0,306,0.9935
ANKLE_LEFT,1.990,2.000,0.099,0,3,303,0,306,0.9902
FOOT_LEFT,1.987,2.000,0.114,0,4,302,0,306,0.9869
HIP_RIGHT,1.977,2.000,0.150,0,7,299,0,306,0.9771
KNEE_RIGHT,1.974,2.000,0.160,0,8,298,0,306,0.9739
ANKLE_RIGHT,1.709,2.000,0.454,0,89,217,0,306,0.7092
FOOT_RIGHT,1.000,1.000,0.000,0,306,0,0,306,0.0000
HEAD,1.000,1.000,0.000,0,306,0,0,306,0.0000
NOSE,1.000,1.000,0.000,0,306,0,0,306,0.0000
EYE_LEFT,1.794,2.000,0.404,0,63,243,0,306,0.7941
EAR_LEFT,1.297,1.000,0.457,0,215,91,0,306,0.2974
EYE_RIGHT,1.062,1.000,0.241,0,287,19,0,306,0.0621
EAR_RIGHT,1.013,1.000,0.114,0,302,4,0,306,0.0131
WRIST_THUMB_LEFT,2.000,2.000,0.000,0,0,306,0,306,1.0000
BICEPS_LEFT,2.000,2.000,0.000,0,0,306,0,306,1.0000
WRIST_THUMB_RIGHT,1.977,2.000,0.150,0,7,299,0,306,0.9771
BICEPS_RIGHT,1.958,2.000,0.202,0,13,293,0,306,0.9575
BACK_LEFT,2.000,2.000,0.000,0,0,306,0,306,1.0000
BACK_RIGHT,2.000,2.000,0.000,0,0,306,0,306,1.0000
