bone_name,mean_length_m,std_length_m,cv,stable
neck_to_head,1.1432,0.1130,0.0988,True
neck_to_l_clavicle,0.0462,0.0042,0.0901,True
l_clavicle_to_shoulder,0.1347,0.0121,0.0901,True
l_shoulder_to_elbow,0.2603,0.0234,0.0901,True
l_elbow_to_wrist,0.2185,0.0197,0.0901,True
neck_to_r_clavicle,0.4862,0.0576,0.1184,True
r_clavicle_to_shoulder,0.1018,0.0092,0.0901,True
r_shoulder_to_elbow,0.1397,0.0617,0.4417,False
r_elbow_to_wrist,0.4111,0.0648,0.1576,True
