frame_index,source_frame_index,body_id,flags,detail,reviewer_decision
74,75,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
75,76,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
76,77,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
77,78,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
78,79,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
79,80,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
80,81,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
81,82,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
82,83,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
83,84,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
84,85,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
85,86,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
86,87,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
87,88,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
88,89,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
89,90,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
90,91,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
91,92,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
92,93,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
93,94,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
94,95,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
95,96,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
96,97,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
97,98,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
98,99,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
99,100,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
100,101,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
101,102,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
102,103,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
103,104,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
104,105,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); large_jump: EAR_LEFT moved 0.192m",,
105,106,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
106,107,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); large_jump: EAR_RIGHT moved 0.312m",,
107,108,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
108,109,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
109,110,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
110,111,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
111,112,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
112,113,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
113,114,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
114,115,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
115,116,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
116,117,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
117,118,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
118,119,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
119,120,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
120,121,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
121,122,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
122,123,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
123,124,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
124,125,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
125,126,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
126,127,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
127,128,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
128,129,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
129,130,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
130,131,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
131,132,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
