frame_index,source_frame_index,body_id,tier,flags,detail,reviewer_decision
3,4,1,WARNING,large_jump: CLAVICLE_RIGHT moved 0.151m,,
35,36,1,WARNING,large_jump: EAR_RIGHT moved 0.155m,,
36,37,1,WARNING,large_jump: EAR_RIGHT moved 0.158m,,
37,38,1,WARNING,large_jump: EAR_RIGHT moved 0.167m,,
98,99,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.413m,,
99,100,1,WARNING,large_jump: EAR_LEFT moved 0.198m,,
158,159,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.561m,,
159,160,1,WARNING,large_jump: EAR_LEFT moved 0.208m,,
202,203,1,WARNING,large_jump: EAR_LEFT moved 0.171m,,
222,223,1,CRITICAL,CRITICAL_jump: NOSE moved 1.022m,,
224,225,1,CRITICAL,CRITICAL_jump: NOSE moved 1.288m,,
227,228,1,CRITICAL,CRITICAL_jump: NOSE moved 0.947m,,
229,230,1,WARNING,large_jump: KNEE_RIGHT moved 0.208m,,
