prev_frame,curr_frame,mean_jump_m,max_jump_m,max_jump_joint
1,2,0.002,0.0074,CLAVICLE_RIGHT
2,3,0.0514,0.1133,SHOULDER_RIGHT
3,4,0.0473,0.1506,CLAVICLE_RIGHT
4,5,0.0108,0.0701,SHOULDER_RIGHT
5,6,0.0198,0.1265,WRIST_LEFT
6,7,0.0059,0.0201,FOOT_RIGHT
7,8,0.0002,0.0004,ELBOW_RIGHT
8,9,0.001,0.0024,NOSE
9,10,0.0,0.0,ELBOW_LEFT
10,11,0.0,0.0,PELVIS
11,12,0.0123,0.0399,WRIST_LEFT
12,13,0.0,0.0001,ELBOW_LEFT
13,14,0.0,0.0,PELVIS
14,15,0.0,0.0,PELVIS
15,16,0.0178,0.0489,HIP_RIGHT
16,17,0.0003,0.001,BICEPS_RIGHT
17,18,0.0,0.0001,BICEPS_RIGHT
18,19,0.0164,0.0458,CLAVICLE_RIGHT
19,20,0.0059,0.0219,HIP_RIGHT
20,21,0.0,0.0001,SHOULDER_RIGHT
21,22,0.0,0.0,PELVIS
22,23,0.0,0.0,SHOULDER_RIGHT
23,24,0.0,0.0,PELVIS
24,25,0.0114,0.0311,NOSE
25,26,0.003,0.0122,SHOULDER_RIGHT
26,27,0.0032,0.0235,SHOULDER_RIGHT
27,28,0.0045,0.0225,SHOULDER_RIGHT
28,29,0.0088,0.0266,EAR_RIGHT
29,30,0.0119,0.0756,SHOULDER_RIGHT
30,31,0.0135,0.0333,WRIST_LEFT
31,32,0.0164,0.0451,WRIST_LEFT
32,33,0.0134,0.0439,WRIST_LEFT
33,34,0.0451,0.112,EYE_RIGHT
34,35,0.0005,0.0015,EAR_RIGHT
35,36,0.0507,0.1555,EAR_RIGHT
36,37,0.0428,0.1584,EAR_RIGHT
37,38,0.0472,0.1674,EAR_RIGHT
38,39,0.0006,0.0023,EAR_RIGHT
39,40,0.0303,0.1264,EAR_RIGHT
40,41,0.0186,0.068,EAR_RIGHT
41,42,0.0115,0.0338,EYE_RIGHT
42,43,0.0089,0.0218,NOSE
43,44,0.0042,0.014,EYE_RIGHT
44,45,0.0113,0.0578,EAR_RIGHT
45,46,0.0052,0.0205,EAR_LEFT
46,47,0.0017,0.0052,EAR_LEFT
47,48,0.0043,0.0175,EAR_LEFT
48,49,0.008,0.0343,WRIST_LEFT
49,50,0.0086,0.0423,EAR_LEFT
50,51,0.0077,0.0424,HIP_RIGHT
51,52,0.0078,0.03,HIP_RIGHT
52,53,0.0073,0.025,HIP_RIGHT
53,54,0.0181,0.1008,EAR_LEFT
54,55,0.0214,0.0875,EAR_RIGHT
55,56,0.0173,0.0621,EAR_RIGHT
56,57,0.0134,0.0458,HEAD
57,58,0.0127,0.0407,EAR_RIGHT
58,59,0.0106,0.0333,FOOT_RIGHT
59,60,0.0107,0.0294,NOSE
60,61,0.0085,0.0259,KNEE_RIGHT
61,62,0.016,0.0762,EAR_LEFT
62,63,0.026,0.1177,EAR_RIGHT
63,64,0.0183,0.0676,EAR_LEFT
