prev_frame,curr_frame,mean_jump_m,max_jump_m,max_jump_joint
35,36,0.0203,0.211,HIP_RIGHT
39,40,0.051,0.1968,FOOT_LEFT
48,49,0.0958,0.2993,HIP_RIGHT
62,63,0.0198,0.1262,ANKLE_LEFT
103,104,0.0297,0.1259,FOOT_LEFT
204,205,0.0173,0.1456,HIP_RIGHT
