frame_index,source_frame_index,body_id,tier,flags,detail,reviewer_decision
1,2,1,WARNING,large_jump: CLAVICLE_RIGHT moved 0.177m,,
32,33,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.539m,,
36,37,1,WARNING,large_jump: EAR_RIGHT moved 0.172m,,
37,38,1,WARNING,large_jump: EAR_RIGHT moved 0.162m,,
44,45,1,CRITICAL,CRITICAL_jump: NOSE moved 1.507m,,
45,46,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 1.340m,,
47,48,1,WARNING,large_jump: EAR_RIGHT moved 0.223m,,
48,49,1,WARNING,large_jump: EAR_RIGHT moved 0.161m,,
62,63,1,WARNING,large_jump: EAR_RIGHT moved 0.161m,,
63,64,1,CRITICAL,CRITICAL_jump: EAR_LEFT moved 0.263m,,
66,67,1,WARNING,large_jump: EAR_RIGHT moved 0.165m,,
67,68,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.287m,,
68,69,1,WARNING,large_jump: EAR_RIGHT moved 0.230m,,
167,168,1,WARNING,large_jump: EAR_RIGHT moved 0.177m,,
195,196,-1,CRITICAL,no_body_detected,,
197,198,-1,CRITICAL,no_body_detected,,
198,199,-1,CRITICAL,no_body_detected,,
199,200,-1,CRITICAL,no_body_detected,,
200,201,-1,CRITICAL,no_body_detected,,
201,202,-1,CRITICAL,no_body_detected,,
202,203,-1,CRITICAL,no_body_detected,,
208,209,1,WARNING,large_jump: HIP_RIGHT moved 0.241m,,
228,229,1,CRITICAL,CRITICAL_jump: EAR_LEFT moved 0.252m,,
233,234,1,WARNING,large_jump: EAR_RIGHT moved 0.249m,,
258,259,1,WARNING,large_jump: EAR_RIGHT moved 0.191m,,
279,280,1,WARNING,large_jump: EAR_LEFT moved 0.177m,,
289,290,1,CRITICAL,CRITICAL_jump: FOOT_RIGHT moved 0.281m,,
290,291,1,WARNING,large_jump: ELBOW_RIGHT moved 0.233m,,
291,292,1,WARNING,large_jump: EAR_RIGHT moved 0.167m,,
296,297,1,WARNING,large_jump: SHOULDER_RIGHT moved 0.173m,,
