bone_name,mean_length_m,std_length_m,cv,stable
neck_to_head,0.9733,0.1220,0.1253,True
neck_to_l_clavicle,0.0447,0.0029,0.0650,True
l_clavicle_to_shoulder,0.1304,0.0085,0.0650,True
l_shoulder_to_elbow,0.2521,0.0164,0.0650,True
l_elbow_to_wrist,0.2116,0.0137,0.0650,True
neck_to_r_clavicle,0.4919,0.0552,0.1122,True
r_clavicle_to_shoulder,0.0986,0.0064,0.0650,True
r_shoulder_to_elbow,0.0963,0.0225,0.2342,True
r_elbow_to_wrist,0.4090,0.0574,0.1404,True
