prev_frame,curr_frame,mean_jump_m,max_jump_m,max_jump_joint
1,2,0.0716,0.1769,CLAVICLE_RIGHT
2,3,0.0293,0.0789,NOSE
3,4,0.0005,0.0018,BACK_RIGHT
4,5,0.0,0.0001,BACK_RIGHT
5,6,0.0,0.0,PELVIS
6,7,0.0,0.0,PELVIS
7,8,0.0,0.0,PELVIS
8,9,0.0,0.0,PELVIS
9,10,0.028,0.083,NOSE
10,11,0.0004,0.0015,HIP_RIGHT
11,12,0.0,0.0001,HIP_RIGHT
12,13,0.0,0.0,PELVIS
13,14,0.0007,0.0033,ELBOW_RIGHT
14,15,0.0,0.0002,CLAVICLE_RIGHT
15,16,0.0,0.0,PELVIS
16,17,0.0,0.0002,HIP_RIGHT
17,18,0.0,0.0,CLAVICLE_RIGHT
18,19,0.0,0.0,SHOULDER_RIGHT
19,20,0.0,0.0,PELVIS
20,21,0.0,0.0,PELVIS
21,22,0.0,0.0,PELVIS
22,23,0.0,0.0,PELVIS
23,24,0.0,0.0,ELBOW_RIGHT
24,25,0.0,0.0,PELVIS
25,26,0.0291,0.1406,SHOULDER_RIGHT
26,27,0.0002,0.0009,BICEPS_RIGHT
27,28,0.0,0.0,PELVIS
28,29,0.0248,0.0677,CLAVICLE_RIGHT
29,30,0.0033,0.017,KNEE_RIGHT
30,31,0.0116,0.0447,SHOULDER_RIGHT
31,32,0.0171,0.0893,SHOULDER_RIGHT
32,33,0.0516,0.5388,EAR_RIGHT
33,34,0.0036,0.0128,ELBOW_RIGHT
34,35,0.0009,0.0035,WRIST_LEFT
35,36,0.0251,0.0862,SHOULDER_RIGHT
36,37,0.0259,0.1722,EAR_RIGHT
37,38,0.0578,0.1625,EAR_RIGHT
38,39,0.0301,0.1241,EAR_RIGHT
39,40,0.0254,0.0888,EAR_RIGHT
40,41,0.0115,0.0411,WRIST_LEFT
41,42,0.0175,0.0601,ELBOW_LEFT
42,43,0.0295,0.0566,KNEE_LEFT
43,44,0.0673,0.1095,HIP_RIGHT
44,45,0.5693,1.5074,NOSE
45,46,0.5689,1.3401,EAR_RIGHT
46,47,0.0099,0.0439,EAR_LEFT
47,48,0.0746,0.2229,EAR_RIGHT
48,49,0.0539,0.1613,EAR_RIGHT
49,50,0.027,0.0867,EAR_RIGHT
50,51,0.0138,0.037,HIP_RIGHT
51,52,0.0124,0.0526,EAR_LEFT
52,53,0.009,0.0239,WRIST_LEFT
53,54,0.0108,0.0394,EAR_LEFT
54,55,0.0097,0.0335,KNEE_RIGHT
55,56,0.017,0.1022,EAR_RIGHT
56,57,0.0188,0.065,WRIST_LEFT
57,58,0.0134,0.035,NOSE
58,59,0.0165,0.0947,EAR_RIGHT
59,60,0.0151,0.0409,EAR_RIGHT
60,61,0.0249,0.1388,EAR_RIGHT
61,62,0.0136,0.0904,EAR_LEFT
62,63,0.0319,0.1607,EAR_RIGHT
63,64,0.0367,0.263,EAR_LEFT
64,65,0.0166,0.0811,EAR_LEFT
65,66,0.0106,0.0743,HIP_RIGHT
66,67,0.0338,0.165,EAR_RIGHT
67,68,0.0495,0.287,EAR_RIGHT
68,69,0.0418,0.2297,EAR_RIGHT
69,70,0.0027,0.0113,EAR_RIGHT
70,71,0.0102,0.0418,EAR_LEFT
71,72,0.0057,0.0173,HIP_RIGHT
72,73,0.0211,0.1121,EAR_LEFT
73,74,0.0169,0.1142,EAR_LEFT
74,75,0.005,0.0279,EAR_RIGHT
75,76,0.0173,0.116,EAR_LEFT
76,77,0.0002,0.0022,EAR_RIGHT
77,78,0.0,0.0,CLAVICLE_RIGHT
78,79,0.0,0.0,EAR_RIGHT
79,80,0.0177,0.0992,EAR_LEFT
80,81,0.0,0.0,PELVIS
81,82,0.0005,0.0026,EAR_LEFT
82,83,0.0,0.0,HIP_RIGHT
83,84,0.0092,0.0357,BICEPS_RIGHT
84,85,0.0078,0.0377,BICEPS_RIGHT
85,86,0.012,0.0289,EAR_RIGHT
86,87,0.0093,0.0345,EAR_RIGHT
87,88,0.0144,0.0937,EAR_RIGHT
88,89,0.0084,0.0459,EAR_RIGHT
89,90,0.0115,0.044,EAR_RIGHT
90,91,0.0113,0.0429,EAR_LEFT
91,92,0.01,0.0326,NOSE
92,93,0.0027,0.0218,EAR_RIGHT
93,94,0.0189,0.1492,EAR_RIGHT
94,95,0.0074,0.0367,EAR_RIGHT
95,96,0.013,0.0668,EAR_RIGHT
96,97,0.0108,0.0389,HEAD
97,98,0.0063,0.0195,BACK_RIGHT
98,99,0.002,0.0073,EAR_LEFT
99,100,0.0008,0.0025,KNEE_RIGHT
100,101,0.0014,0.0044,KNEE_RIGHT
101,102,0.0,0.0001,KNEE_RIGHT
102,103,0.0014,0.0043,KNEE_RIGHT
103,104,0.0002,0.0007,HIP_RIGHT
104,105,0.0023,0.0095,HIP_RIGHT
105,106,0.002,0.0064,HIP_RIGHT
106,107,0.0013,0.0043,HIP_RIGHT
107,108,0.002,0.006,KNEE_RIGHT
108,109,0.0109,0.0349,NOSE
109,110,0.002,0.0069,HIP_RIGHT
110,111,0.014,0.0588,KNEE_RIGHT
111,112,0.0114,0.0345,BACK_RIGHT
112,113,0.0167,0.0882,EAR_RIGHT
113,114,0.0083,0.0339,EAR_RIGHT
114,115,0.0122,0.0437,EAR_LEFT
115,116,0.0028,0.0094,EAR_RIGHT
116,117,0.0,0.0001,HIP_RIGHT
117,118,0.0066,0.0232,EAR_RIGHT
118,119,0.0113,0.0367,FOOT_RIGHT
119,120,0.0,0.0,NOSE
120,121,0.0029,0.011,NOSE
121,122,0.0044,0.0195,NOSE
122,123,0.0061,0.0245,EAR_LEFT
123,124,0.0042,0.0178,EAR_RIGHT
124,125,0.0052,0.0209,NOSE
125,126,0.0,0.0,PELVIS
126,127,0.0037,0.0128,NOSE
127,128,0.0052,0.0139,HEAD
128,129,0.0043,0.0095,BICEPS_RIGHT
129,130,0.0,0.0,HIP_RIGHT
130,131,0.0016,0.0051,KNEE_RIGHT
131,132,0.0032,0.0121,HIP_RIGHT
132,133,0.0105,0.0743,EAR_LEFT
133,134,0.0056,0.0284,EAR_RIGHT
134,135,0.0259,0.1401,EAR_RIGHT
135,136,0.0125,0.0497,EAR_RIGHT
136,137,0.0133,0.0777,EAR_RIGHT
137,138,0.0261,0.089,NOSE
138,139,0.0047,0.0172,EAR_LEFT
139,140,0.0056,0.0249,EAR_LEFT
140,141,0.0,0.0,HIP_RIGHT
141,142,0.0123,0.0489,EAR_LEFT
142,143,0.0149,0.0856,EAR_RIGHT
143,144,0.0064,0.0211,EAR_LEFT
144,145,0.0072,0.0374,EAR_RIGHT
145,146,0.0,0.0002,EAR_RIGHT
146,147,0.0008,0.0028,HIP_RIGHT
147,148,0.0027,0.011,EAR_RIGHT
148,149,0.0,0.0,PELVIS
149,150,0.005,0.0218,EAR_RIGHT
150,151,0.0127,0.0633,EAR_RIGHT
151,152,0.0062,0.0242,NOSE
152,153,0.0,0.0001,EAR_RIGHT
153,154,0.0026,0.0128,EAR_RIGHT
154,155,0.0,0.0,HIP_RIGHT
155,156,0.0012,0.0034,HIP_RIGHT
156,157,0.0058,0.0261,EAR_LEFT
157,158,0.0075,0.0215,EAR_LEFT
158,159,0.0124,0.057,EAR_LEFT
159,160,0.008,0.0348,NOSE
160,161,0.0099,0.0327,FOOT_RIGHT
161,162,0.0043,0.0185,HIP_RIGHT
162,163,0.0112,0.0359,EYE_RIGHT
163,164,0.0022,0.0094,EAR_RIGHT
164,165,0.0103,0.0318,KNEE_RIGHT
165,166,0.0013,0.0113,EAR_RIGHT
166,167,0.0,0.0001,EAR_RIGHT
167,168,0.0291,0.177,EAR_RIGHT
168,169,0.008,0.0333,FOOT_RIGHT
169,170,0.0037,0.0207,EAR_RIGHT
170,171,0.0036,0.0214,EAR_RIGHT
171,172,0.0002,0.001,NOSE
172,173,0.0095,0.0726,EAR_LEFT
173,174,0.0048,0.0424,EAR_RIGHT
174,175,0.0,0.0002,EAR_RIGHT
175,176,0.0049,0.0282,EYE_RIGHT
176,177,0.0035,0.0251,EAR_LEFT
177,178,0.0022,0.013,EAR_LEFT
178,179,0.0048,0.0184,EAR_RIGHT
179,180,0.0134,0.079,EAR_LEFT
180,181,0.0018,0.0067,KNEE_RIGHT
181,182,0.0085,0.0293,EAR_RIGHT
182,183,0.0036,0.0151,EAR_RIGHT
183,184,0.0096,0.0336,EAR_RIGHT
184,185,0.0129,0.0344,KNEE_RIGHT
185,186,0.0152,0.057,ANKLE_LEFT
186,187,0.0,0.0,EAR_RIGHT
187,188,0.001,0.0053,HIP_RIGHT
188,189,0.0003,0.0013,HIP_RIGHT
189,190,0.0,0.0001,HIP_RIGHT
190,191,0.0377,0.1449,NOSE
191,192,0.0334,0.1021,FOOT_RIGHT
192,193,0.024,0.0762,EYE_RIGHT
193,194,0.037,0.1258,HIP_RIGHT
194,195,0.0378,0.1041,ANKLE_LEFT
204,205,0.0211,0.0425,HIP_RIGHT
205,206,0.0261,0.1062,KNEE_RIGHT
206,207,0.0303,0.0629,BICEPS_LEFT
207,208,0.0306,0.1134,HIP_RIGHT
208,209,0.0591,0.2413,HIP_RIGHT
209,210,0.0264,0.0569,NOSE
210,211,0.0182,0.0413,NOSE
211,212,0.0081,0.0241,CLAVICLE_RIGHT
212,213,0.0001,0.0002,HIP_RIGHT
213,214,0.0066,0.0178,HIP_RIGHT
214,215,0.0095,0.0683,WRIST_LEFT
215,216,0.0066,0.0217,SHOULDER_RIGHT
216,217,0.0023,0.0071,SHOULDER_RIGHT
217,218,0.0081,0.0249,EYE_RIGHT
218,219,0.0037,0.0107,EAR_RIGHT
219,220,0.0,0.0,EYE_RIGHT
220,221,0.01,0.0277,KNEE_RIGHT
221,222,0.0071,0.0397,EAR_RIGHT
222,223,0.0206,0.1085,EAR_LEFT
