joint_name,mean_confidence,median_confidence,std_confidence,count_none,count_low,count_medium,count_high,total,reference_valid_ratio
PELVIS,1.995,2.000,0.068,0,2,423,0,425,0.9953
SPINE_NAVAL,2.000,2.000,0.000,0,0,425,0,425,1.0000
SPINE_CHEST,2.000,2.000,0.000,0,0,425,0,425,1.0000
NECK,2.000,2.000,0.000,0,0,425,0,425,1.0000
CLAVICLE_LEFT,1.965,2.000,0.185,0,15,410,0,425,0.9647
SHOULDER_LEFT,1.965,2.000,0.185,0,15,410,0,425,0.9647
ELBOW_LEFT,1.774,2.000,0.418,0,96,329,0,425,0.7741
WRIST_LEFT,1.252,1.000,0.434,0,318,107,0,425,0.2518
CLAVICLE_RIGHT,1.078,1.000,0.268,0,392,33,0,425,0.0776
SHOULDER_RIGHT,1.061,1.000,0.240,0,399,26,0,425,0.0612
ELBOW_RIGHT,1.122,1.000,0.328,0,373,52,0,425,0.1224
WRIST_RIGHT,2.000,2.000,0.000,0,0,425,0,425,1.0000
HIP_LEFT,2.000,2.000,0.000,0,0,425,0,425,1.0000
KNEE_LEFT,2.000,2.000,0.000,0,0,425,0,425,1.0000
ANKLE_LEFT,1.955,2.000,0.207,0,19,406,0,425,0.9553
FOOT_LEFT,1.951,2.000,0.217,0,21,404,0,425,0.9506
HIP_RIGHT,1.948,2.000,0.222,0,22,403,0,425,0.9482
KNEE_RIGHT,1.939,2.000,0.240,0,26,399,0,425,0.9388
ANKLE_RIGHT,1.889,2.000,0.314,0,47,378,0,425,0.8894
FOOT_RIGHT,1.016,1.000,0.127,0,418,7,0,425,0.0165
HEAD,1.000,1.000,0.000,0,425,0,0,425,0.0000
NOSE,1.000,1.000,0.000,0,425,0,0,425,0.0000
EYE_LEFT,1.958,2.000,0.201,0,18,407,0,425,0.9576
EAR_LEFT,1.391,1.000,0.488,0,259,166,0,425,0.3906
EYE_RIGHT,1.014,1.000,0.118,0,419,6,0,425,0.0141
EAR_RIGHT,1.009,1.000,0.097,0,421,4,0,425,0.0094
WRIST_THUMB_LEFT,2.000,2.000,0.000,0,0,425,0,425,1.0000
BICEPS_LEFT,1.967,2.000,0.178,0,14,411,0,425,0.9671
WRIST_THUMB_RIGHT,1.946,2.000,0.226,0,23,402,0,425,0.9459
BICEPS_RIGHT,1.934,2.000,0.248,0,28,397,0,425,0.9341
BACK_LEFT,1.967,2.000,0.178,0,14,411,0,425,0.9671
BACK_RIGHT,1.967,2.000,0.178,0,14,411,0,425,0.9671
