frame_index,source_frame_index,body_id,tier,flags,detail,reviewer_decision
2,3,1,WARNING,large_jump: NOSE moved 0.167m,,
45,46,1,WARNING,large_jump: HEAD moved 0.199m,,
51,52,-1,CRITICAL,no_body_detected,,
56,57,-1,CRITICAL,no_body_detected,,
59,60,-1,CRITICAL,no_body_detected,,
61,62,1,CRITICAL,CRITICAL_jump: SHOULDER_RIGHT moved 0.528m,,
64,65,1,WARNING,large_jump: FOOT_RIGHT moved 0.167m,,
67,68,1,CRITICAL,CRITICAL_jump: KNEE_LEFT moved 0.626m,,
69,70,1,CRITICAL,CRITICAL_jump: KNEE_RIGHT moved 0.259m,,
76,77,1,WARNING,large_jump: FOOT_LEFT moved 0.158m,,
90,91,1,CRITICAL,CRITICAL_jump: EAR_LEFT moved 0.266m,,
145,146,1,CRITICAL,CRITICAL_jump: EAR_LEFT moved 0.294m,,
191,192,1,CRITICAL,CRITICAL_jump: EAR_LEFT moved 0.421m,,
276,277,1,WARNING,large_jump: EAR_RIGHT moved 0.170m,,
319,320,1,WARNING,large_jump: EAR_LEFT moved 0.197m,,
336,337,1,CRITICAL,CRITICAL_jump: ELBOW_RIGHT moved 0.262m,,
341,342,1,CRITICAL,CRITICAL_jump: FOOT_RIGHT moved 0.259m,,
342,343,1,WARNING,large_jump: FOOT_RIGHT moved 0.185m,,
344,345,1,WARNING,large_jump: EAR_LEFT moved 0.177m,,
347,348,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.490m,,
348,349,1,WARNING,large_jump: EAR_RIGHT moved 0.174m,,
349,350,1,WARNING,large_jump: EAR_RIGHT moved 0.187m,,
350,351,1,WARNING,large_jump: EAR_RIGHT moved 0.248m,,
352,353,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.294m,,
