joint_name,mean_confidence,median_confidence,std_confidence,count_none,count_low,count_medium,count_high,total,reference_valid_ratio
PELVIS,1.952,2.000,0.213,0,16,320,0,336,0.9524
SPINE_NAVAL,2.000,2.000,0.000,0,0,336,0,336,1.0000
SPINE_CHEST,2.000,2.000,0.000,0,0,336,0,336,1.0000
NECK,2.000,2.000,0.000,0,0,336,0,336,1.0000
CLAVICLE_LEFT,2.000,2.000,0.000,0,0,336,0,336,1.0000
SHOULDER_LEFT,2.000,2.000,0.000,0,0,336,0,336,1.0000
ELBOW_LEFT,1.708,2.000,0.455,0,98,238,0,336,0.7083
WRIST_LEFT,1.176,1.000,0.380,0,277,59,0,336,0.1756
CLAVICLE_RIGHT,1.122,1.000,0.327,0,295,41,0,336,0.1220
SHOULDER_RIGHT,1.065,1.000,0.247,0,314,22,0,336,0.0655
ELBOW_RIGHT,1.068,1.000,0.253,0,313,23,0,336,0.0685
WRIST_RIGHT,1.908,2.000,0.289,0,31,305,0,336,0.9077
HIP_LEFT,1.908,2.000,0.289,0,31,305,0,336,0.9077
KNEE_LEFT,1.905,2.000,0.294,0,32,304,0,336,0.9048
ANKLE_LEFT,1.905,2.000,0.294,0,32,304,0,336,0.9048
FOOT_LEFT,1.902,2.000,0.298,0,33,303,0,336,0.9018
HIP_RIGHT,1.899,2.000,0.302,0,34,302,0,336,0.8988
KNEE_RIGHT,1.860,2.000,0.347,0,47,289,0,336,0.8601
ANKLE_RIGHT,1.613,2.000,0.487,0,130,206,0,336,0.6131
FOOT_RIGHT,1.012,1.000,0.108,0,332,4,0,336,0.0119
HEAD,1.000,1.000,0.000,0,336,0,0,336,0.0000
NOSE,1.000,1.000,0.000,0,336,0,0,336,0.0000
EYE_LEFT,1.658,2.000,0.474,0,115,221,0,336,0.6577
EAR_LEFT,1.155,1.000,0.362,0,284,52,0,336,0.1548
EYE_RIGHT,1.074,1.000,0.262,0,311,25,0,336,0.0744
EAR_RIGHT,1.000,1.000,0.000,0,336,0,0,336,0.0000
WRIST_THUMB_LEFT,2.000,2.000,0.000,0,0,336,0,336,1.0000
BICEPS_LEFT,1.997,2.000,0.054,0,1,335,0,336,0.9970
WRIST_THUMB_RIGHT,1.994,2.000,0.077,0,2,334,0,336,0.9940
BICEPS_RIGHT,1.935,2.000,0.247,0,22,314,0,336,0.9345
BACK_LEFT,1.994,2.000,0.077,0,2,334,0,336,0.9940
BACK_RIGHT,1.994,2.000,0.077,0,2,334,0,336,0.9940
