bone_name,mean_length_m,std_length_m,cv,stable
neck_to_head,1.0870,0.1349,0.1241,True
neck_to_l_clavicle,0.0448,0.0027,0.0612,True
l_clavicle_to_shoulder,0.1307,0.0080,0.0612,True
l_shoulder_to_elbow,0.2527,0.0155,0.0612,True
l_elbow_to_wrist,0.2121,0.0130,0.0612,True
neck_to_r_clavicle,0.4857,0.0284,0.0585,True
r_clavicle_to_shoulder,0.0988,0.0061,0.0612,True
r_shoulder_to_elbow,0.1066,0.0457,0.4286,False
r_elbow_to_wrist,0.4321,0.0495,0.1145,True
