prev_frame,curr_frame,mean_jump_m,max_jump_m,max_jump_joint
1,2,0.0119,0.0628,KNEE_RIGHT
2,3,0.0061,0.0191,BACK_RIGHT
3,4,0.0015,0.0031,EAR_RIGHT
4,5,0.0005,0.0011,SHOULDER_RIGHT
5,6,0.0008,0.0018,NOSE
6,7,0.0001,0.0002,NOSE
7,8,0.0162,0.0475,NOSE
8,9,0.0105,0.0285,NOSE
9,10,0.0075,0.0376,CLAVICLE_RIGHT
10,11,0.0334,0.0869,NOSE
11,12,0.01,0.039,EAR_RIGHT
12,13,0.004,0.0222,EAR_RIGHT
13,14,0.0056,0.0284,NOSE
14,15,0.0,0.0,KNEE_RIGHT
15,16,0.0015,0.0129,KNEE_RIGHT
16,17,0.0001,0.0012,KNEE_RIGHT
17,18,0.0051,0.0297,HIP_RIGHT
18,19,0.0018,0.0075,NOSE
19,20,0.0004,0.0012,NOSE
20,21,0.003,0.0279,KNEE_RIGHT
21,22,0.0001,0.0013,KNEE_RIGHT
22,23,0.0008,0.0079,KNEE_RIGHT
23,24,0.0,0.0,PELVIS
24,25,0.0035,0.0188,KNEE_RIGHT
25,26,0.0018,0.008,HIP_RIGHT
26,27,0.0008,0.0088,KNEE_RIGHT
27,28,0.0,0.0001,KNEE_RIGHT
28,29,0.0,0.0001,SHOULDER_RIGHT
29,30,0.0,0.0,PELVIS
30,31,0.0,0.0,PELVIS
31,32,0.0103,0.0344,FOOT_RIGHT
32,33,0.0044,0.0194,BACK_RIGHT
33,34,0.0017,0.0064,WRIST_LEFT
34,35,0.0018,0.018,ELBOW_RIGHT
35,36,0.0004,0.0043,ELBOW_RIGHT
36,37,0.0001,0.001,ELBOW_RIGHT
37,38,0.0,0.0001,ELBOW_RIGHT
38,39,0.0011,0.0119,ELBOW_RIGHT
39,40,0.0002,0.0024,ELBOW_RIGHT
40,41,0.0384,0.1805,CLAVICLE_RIGHT
41,42,0.0078,0.0363,WRIST_LEFT
42,43,0.0259,0.0712,EYE_RIGHT
43,44,0.0123,0.047,KNEE_LEFT
44,45,0.0245,0.0639,KNEE_LEFT
45,46,0.0073,0.03,NOSE
46,47,0.0131,0.0906,ELBOW_RIGHT
47,48,0.0499,0.1053,EAR_LEFT
48,49,0.0143,0.0616,WRIST_LEFT
49,50,0.5049,1.377,NOSE
50,51,0.0425,0.1306,ANKLE_LEFT
51,52,0.3206,0.7431,NOSE
52,53,0.0204,0.0407,EAR_RIGHT
53,54,0.0293,0.1011,EAR_RIGHT
54,55,0.0258,0.0824,EAR_RIGHT
55,56,0.0119,0.037,EAR_RIGHT
56,57,0.0011,0.007,EAR_RIGHT
57,58,0.0,0.0001,EAR_RIGHT
58,59,0.0,0.0,PELVIS
59,60,0.0395,0.1686,HIP_RIGHT
60,61,0.0171,0.0426,EAR_RIGHT
61,62,0.0177,0.1103,EAR_RIGHT
62,63,0.0244,0.0919,EAR_LEFT
63,64,0.0163,0.0634,HIP_RIGHT
64,65,0.0063,0.0388,KNEE_RIGHT
65,66,0.0084,0.0663,KNEE_RIGHT
66,67,0.0,0.0002,HIP_RIGHT
67,68,0.0,0.0,HIP_RIGHT
68,69,0.0458,0.2985,HIP_RIGHT
69,70,0.025,0.0836,EAR_LEFT
70,71,0.0109,0.0684,KNEE_RIGHT
71,72,0.0128,0.0945,KNEE_RIGHT
72,73,0.029,0.1198,EYE_RIGHT
73,74,0.0062,0.0284,EAR_RIGHT
74,75,0.0096,0.0626,EAR_RIGHT
75,76,0.0068,0.032,EAR_RIGHT
76,77,0.014,0.0596,EAR_RIGHT
77,78,0.0162,0.0782,EAR_RIGHT
78,79,0.0173,0.0542,FOOT_RIGHT
79,80,0.0089,0.0299,EAR_RIGHT
80,81,0.0197,0.0869,EAR_RIGHT
81,82,0.0097,0.0324,HIP_RIGHT
82,83,0.0001,0.0005,KNEE_RIGHT
83,84,0.0313,0.1216,EAR_RIGHT
84,85,0.0017,0.0056,EAR_RIGHT
85,86,0.0223,0.117,EAR_LEFT
86,87,0.0192,0.1103,EAR_LEFT
87,88,0.0128,0.0671,EAR_RIGHT
88,89,0.0088,0.0587,EAR_LEFT
89,90,0.0095,0.0595,EAR_LEFT
90,91,0.001,0.0052,EAR_RIGHT
91,92,0.013,0.0549,EAR_RIGHT
92,93,0.0006,0.0063,EAR_RIGHT
93,94,0.0082,0.0326,EAR_RIGHT
94,95,0.009,0.0302,EAR_LEFT
95,96,0.007,0.0257,EAR_RIGHT
96,97,0.0005,0.0023,BICEPS_LEFT
97,98,0.0112,0.0313,ANKLE_LEFT
98,99,0.007,0.0272,KNEE_RIGHT
99,100,0.0143,0.1062,EAR_LEFT
100,101,0.0132,0.0374,HIP_RIGHT
101,102,0.0251,0.1673,EAR_RIGHT
102,103,0.0227,0.1085,EAR_RIGHT
103,104,0.0077,0.0429,NOSE
104,105,0.022,0.0523,KNEE_RIGHT
105,106,0.012,0.0326,EAR_LEFT
106,107,0.0117,0.0441,ANKLE_LEFT
107,108,0.0061,0.0173,BACK_LEFT
108,109,0.0092,0.0311,HIP_RIGHT
109,110,0.0129,0.053,HIP_RIGHT
110,111,0.0071,0.0294,BICEPS_RIGHT
111,112,0.0052,0.0188,EAR_LEFT
112,113,0.0071,0.0223,EAR_RIGHT
113,114,0.0,0.0001,BICEPS_LEFT
114,115,0.0049,0.0193,EAR_RIGHT
115,116,0.0111,0.0466,EAR_LEFT
116,117,0.0048,0.0228,NOSE
117,118,0.0116,0.0426,FOOT_RIGHT
118,119,0.0092,0.0279,EAR_RIGHT
119,120,0.0085,0.0261,EAR_RIGHT
120,121,0.0129,0.0457,HIP_RIGHT
121,122,0.0111,0.036,EAR_LEFT
122,123,0.0199,0.0943,EAR_RIGHT
123,124,0.0159,0.0579,HIP_RIGHT
124,125,0.0173,0.0379,EAR_LEFT
125,126,0.3618,0.7259,NOSE
126,127,0.0456,0.2253,SHOULDER_RIGHT
127,128,0.0481,0.1157,FOOT_LEFT
128,129,0.3389,0.8509,SHOULDER_RIGHT
129,130,0.0509,0.2211,HIP_RIGHT
130,131,0.0254,0.0608,NOSE
131,132,0.0298,0.0651,NOSE
132,133,0.0137,0.0318,NOSE
133,134,0.014,0.054,EAR_RIGHT
134,135,0.0306,0.0829,NOSE
135,136,0.0219,0.0642,NOSE
136,137,0.015,0.0425,NOSE
137,138,0.0083,0.0241,NOSE
138,139,0.0001,0.0003,HIP_RIGHT
139,140,0.0091,0.0234,FOOT_LEFT
140,141,0.01,0.0221,WRIST_THUMB_RIGHT
141,142,0.014,0.0403,EAR_RIGHT
142,143,0.0135,0.0606,EAR_LEFT
143,144,0.0117,0.0273,EAR_RIGHT
144,145,0.014,0.0387,HIP_RIGHT
145,146,0.0228,0.0821,EYE_RIGHT
146,147,0.0065,0.0242,KNEE_RIGHT
147,148,0.0572,0.1903,EAR_LEFT
148,149,0.037,0.157,EAR_LEFT
149,150,0.035,0.1473,EAR_LEFT
150,151,0.0128,0.0541,EAR_RIGHT
151,152,0.0025,0.0107,EAR_RIGHT
152,153,0.0296,0.0715,EAR_LEFT
153,154,0.0083,0.0419,EAR_RIGHT
154,155,0.0031,0.0223,EAR_RIGHT
155,156,0.0247,0.1324,EAR_RIGHT
156,157,0.0009,0.0066,EAR_RIGHT
157,158,0.0,0.0001,EAR_RIGHT
158,159,0.0,0.0,PELVIS
159,160,0.0,0.0,PELVIS
160,161,0.0,0.0,PELVIS
161,162,0.0,0.0,PELVIS
162,163,0.0,0.0,PELVIS
163,164,0.0,0.0,HIP_RIGHT
164,165,0.0202,0.0622,EAR_RIGHT
165,166,0.023,0.0938,EAR_RIGHT
166,167,0.0226,0.0746,EAR_RIGHT
167,168,0.0141,0.0939,EAR_LEFT
168,169,0.0515,0.1256,EAR_RIGHT
169,170,0.0174,0.057,EAR_LEFT
170,171,0.0111,0.0319,EAR_RIGHT
171,172,0.0187,0.0598,EYE_RIGHT
172,173,0.0165,0.0756,KNEE_RIGHT
173,174,0.0175,0.0704,EAR_LEFT
174,175,0.0388,0.1832,EYE_RIGHT
175,176,0.0146,0.0361,EAR_LEFT
176,177,0.0155,0.0465,EAR_LEFT
177,178,0.003,0.011,EAR_LEFT
178,179,0.0274,0.1286,EAR_LEFT
179,180,0.0329,0.191,EAR_LEFT
180,181,0.0294,0.0703,ELBOW_LEFT
181,182,0.0124,0.0354,WRIST_LEFT
182,183,0.025,0.0598,CLAVICLE_RIGHT
183,184,0.0221,0.0769,EAR_LEFT
184,185,0.0014,0.0093,SHOULDER_RIGHT
185,186,0.0479,0.2221,EAR_RIGHT
186,187,0.0039,0.0369,ELBOW_RIGHT
187,188,0.0234,0.1395,SHOULDER_RIGHT
188,189,0.0015,0.0098,SHOULDER_RIGHT
189,190,0.0265,0.097,SHOULDER_RIGHT
190,191,0.0542,0.2052,SHOULDER_RIGHT
191,192,0.0445,0.0911,SHOULDER_RIGHT
192,193,0.0108,0.0272,NOSE
193,194,0.0105,0.0297,NOSE
194,195,0.0168,0.0507,BICEPS_RIGHT
195,196,0.0204,0.0884,WRIST_LEFT
196,197,0.0336,0.0856,EAR_RIGHT
197,198,0.0002,0.0007,EAR_RIGHT
198,199,0.02,0.0727,WRIST_LEFT
199,200,0.0007,0.0014,WRIST_THUMB_RIGHT
200,201,0.0031,0.0099,WRIST_LEFT
201,202,0.0002,0.0005,WRIST_LEFT
202,203,0.0,0.0,PELVIS
203,204,0.0,0.0,PELVIS
204,205,0.0,0.0003,KNEE_RIGHT
205,206,0.0,0.0001,EAR_RIGHT
206,207,0.0004,0.001,EAR_RIGHT
207,208,0.0004,0.001,EAR_RIGHT
208,209,0.0025,0.0073,WRIST_LEFT
209,210,0.0014,0.0074,KNEE_RIGHT
210,211,0.0,0.0001,WRIST_LEFT
211,212,0.0,0.0,PELVIS
212,213,0.0,0.0,PELVIS
213,214,0.0,0.0,PELVIS
214,215,0.0,0.0,PELVIS
215,216,0.0,0.0,PELVIS
216,217,0.0012,0.0035,WRIST_LEFT
217,218,0.0187,0.048,NOSE
218,219,0.0162,0.0802,SHOULDER_RIGHT
219,220,0.0069,0.0209,WRIST_LEFT
220,221,0.0,0.0,PELVIS
221,222,0.0,0.0,PELVIS
222,223,0.0,0.0,PELVIS
223,224,0.0,0.0,PELVIS
224,225,0.0,0.0,PELVIS
225,226,0.0,0.0,PELVIS
226,227,0.0,0.0,PELVIS
227,228,0.0148,0.0376,NOSE
228,229,0.0026,0.0112,EAR_RIGHT
229,230,0.0164,0.0859,WRIST_LEFT
230,231,0.0126,0.0932,WRIST_LEFT
231,232,0.0114,0.0876,WRIST_LEFT
232,233,0.0111,0.1006,WRIST_LEFT
