bone_name,mean_length_m,std_length_m,cv,stable
neck_to_head,1.0091,0.1402,0.1389,True
neck_to_l_clavicle,0.0445,0.0032,0.0724,True
l_clavicle_to_shoulder,0.1299,0.0094,0.0724,True
l_shoulder_to_elbow,0.2510,0.0182,0.0724,True
l_elbow_to_wrist,0.2107,0.0152,0.0724,True
neck_to_r_clavicle,0.4820,0.0621,0.1289,True
r_clavicle_to_shoulder,0.0982,0.0071,0.0724,True
r_shoulder_to_elbow,0.0917,0.0377,0.4109,False
r_elbow_to_wrist,0.4217,0.0743,0.1762,True
