joint_name,mean_confidence,median_confidence,std_confidence,count_none,count_low,count_medium,count_high,total,reference_valid_ratio
PELVIS,2.000,2.000,0.000,0,0,236,0,236,1.0000
SPINE_NAVAL,2.000,2.000,0.000,0,0,236,0,236,1.0000
SPINE_CHEST,2.000,2.000,0.000,0,0,236,0,236,1.0000
NECK,2.000,2.000,0.000,0,0,236,0,236,1.0000
CLAVICLE_LEFT,1.979,2.000,0.144,0,5,231,0,236,0.9788
SHOULDER_LEFT,1.979,2.000,0.144,0,5,231,0,236,0.9788
ELBOW_LEFT,1.818,2.000,0.386,0,43,193,0,236,0.8178
WRIST_LEFT,1.242,1.000,0.428,0,179,57,0,236,0.2415
CLAVICLE_RIGHT,1.097,1.000,0.297,0,213,23,0,236,0.0975
SHOULDER_RIGHT,1.072,1.000,0.259,0,219,17,0,236,0.0720
ELBOW_RIGHT,1.114,1.000,0.318,0,209,27,0,236,0.1144
WRIST_RIGHT,1.992,2.000,0.092,0,2,234,0,236,0.9915
HIP_LEFT,1.992,2.000,0.092,0,2,234,0,236,0.9915
KNEE_LEFT,1.983,2.000,0.129,0,4,232,0,236,0.9831
ANKLE_LEFT,1.979,2.000,0.144,0,5,231,0,236,0.9788
FOOT_LEFT,1.975,2.000,0.157,0,6,230,0,236,0.9746
HIP_RIGHT,1.958,2.000,0.201,0,10,226,0,236,0.9576
KNEE_RIGHT,1.970,2.000,0.170,0,7,229,0,236,0.9703
ANKLE_RIGHT,1.979,2.000,0.144,0,5,231,0,236,0.9788
FOOT_RIGHT,1.021,1.000,0.144,0,231,5,0,236,0.0212
HEAD,1.000,1.000,0.000,0,236,0,0,236,0.0000
NOSE,1.000,1.000,0.000,0,236,0,0,236,0.0000
EYE_LEFT,1.983,2.000,0.129,0,4,232,0,236,0.9831
EAR_LEFT,1.352,1.000,0.477,0,153,83,0,236,0.3517
EYE_RIGHT,1.068,1.000,0.251,0,220,16,0,236,0.0678
EAR_RIGHT,1.000,1.000,0.000,0,236,0,0,236,0.0000
WRIST_THUMB_LEFT,2.000,2.000,0.000,0,0,236,0,236,1.0000
BICEPS_LEFT,1.996,2.000,0.065,0,1,235,0,236,0.9958
WRIST_THUMB_RIGHT,1.983,2.000,0.129,0,4,232,0,236,0.9831
BICEPS_RIGHT,1.945,2.000,0.228,0,13,223,0,236,0.9449
BACK_LEFT,1.996,2.000,0.065,0,1,235,0,236,0.9958
BACK_RIGHT,1.992,2.000,0.092,0,2,234,0,236,0.9915
