frame_index,color_timestamp_usec,depth_timestamp_usec,color_path,depth_path
1,301866,301866,color/frame_000001.jpg,depth/frame_000001.png
2,335200,335166,color/frame_000002.jpg,depth/frame_000002.png
3,368511,368533,color/frame_000003.jpg,depth/frame_000003.png
4,401844,401866,color/frame_000004.jpg,depth/frame_000004.png
5,435177,435200,color/frame_000005.jpg,depth/frame_000005.png
6,468522,468511,color/frame_000006.jpg,depth/frame_000006.png
7,501844,501866,color/frame_000007.jpg,depth/frame_000007.png
8,535177,535200,color/frame_000008.jpg,depth/frame_000008.png
9,568511,568533,color/frame_000009.jpg,depth/frame_000009.png
10,601855,601844,color/frame_000010.jpg,depth/frame_000010.png
11,635166,635200,color/frame_000011.jpg,depth/frame_000011.png
12,668500,668522,color/frame_000012.jpg,depth/frame_000012.png
13,701844,701866,color/frame_000013.jpg,depth/frame_000013.png
14,735177,735200,color/frame_000014.jpg,depth/frame_000014.png
15,768511,768533,color/frame_000015.jpg,depth/frame_000015.png
16,801855,801844,color/frame_000016.jpg,depth/frame_000016.png
17,835166,835200,color/frame_000017.jpg,depth/frame_000017.png
18,868500,868522,color/frame_000018.jpg,depth/frame_000018.png
19,901844,901866,color/frame_000019.jpg,depth/frame_000019.png
20,935177,935188,color/frame_000020.jpg,depth/frame_000020.png
21,968500,968533,color/frame_000021.jpg,depth/frame_000021.png
22,1001844,1001855,color/frame_000022.jpg,depth/frame_000022.png
23,1035177,1035200,color/frame_000023.jpg,depth/frame_000023.png
24,1068511,1068522,color/frame_000024.jpg,depth/frame_000024.png
25,1101844,1101866,color/frame_000025.jpg,depth/frame_000025.png
26,1135177,1135200,color/frame_000026.jpg,depth/frame_000026.png
27,1168522,1168533,color/frame_000027.jpg,depth/frame_000027.png
28,1201855,1201866,color/frame_000028.jpg,depth/frame_000028.png
29,1235200,1235200,color/frame_000029.jpg,depth/frame_000029.png
30,1268533,1268500,color/frame_000030.jpg,depth/frame_000030.png
31,1301844,1301866,color/frame_000031.jpg,depth/frame_000031.png
32,1335177,1335177,color/frame_000032.jpg,depth/frame_000032.png
33,1368500,1368533,color/frame_000033.jpg,depth/frame_000033.png
34,1401833,1401855,color/frame_000034.jpg,depth/frame_000034.png
35,1435166,1435200,color/frame_000035.jpg,depth/frame_000035.png
36,1468511,1468522,color/frame_000036.jpg,depth/frame_000036.png
37,1501833,1501866,color/frame_000037.jpg,depth/frame_000037.png
38,1535177,1535200,color/frame_000038.jpg,depth/frame_000038.png
39,1568511,1568533,color/frame_000039.jpg,depth/frame_000039.png
40,1601844,1601844,color/frame_000040.jpg,depth/frame_000040.png
41,1635166,1635200,color/frame_000041.jpg,depth/frame_000041.png
42,1668511,1668522,color/frame_000042.jpg,depth/frame_000042.png
43,1701833,1701866,color/frame_000043.jpg,depth/frame_000043.png
44,1735177,1735188,color/frame_000044.jpg,depth/frame_000044.png
45,1768500,1768533,color/frame_000045.jpg,depth/frame_000045.png
46,1801844,1801855,color/frame_000046.jpg,depth/frame_000046.png
