prev_frame,curr_frame,mean_jump_m,max_jump_m,max_jump_joint
121,122,0.035,0.1377,BICEPS_LEFT
122,123,0.0302,0.0974,WRIST_LEFT
123,124,0.551,1.5012,NOSE
124,125,0.0932,0.155,EAR_RIGHT
125,126,0.076,0.1491,EAR_RIGHT
126,127,0.0469,0.1225,NOSE
127,128,0.0298,0.1051,CLAVICLE_RIGHT
128,129,0.5388,1.5628,EAR_RIGHT
129,130,0.0902,0.2923,ELBOW_RIGHT
130,131,0.0313,0.1257,SHOULDER_RIGHT
131,132,0.0293,0.0663,WRIST_LEFT
132,133,0.0361,0.0666,SPINE_CHEST
133,134,0.0164,0.0456,EAR_RIGHT
134,135,0.0253,0.0724,EAR_RIGHT
135,136,0.0256,0.0706,EAR_RIGHT
136,137,0.0104,0.035,EAR_RIGHT
137,138,0.0118,0.0364,EAR_RIGHT
138,139,0.015,0.0482,EAR_LEFT
139,140,0.0065,0.0234,KNEE_RIGHT
140,141,0.0076,0.0224,EYE_RIGHT
141,142,0.0088,0.0311,EAR_RIGHT
142,143,0.0,0.0,KNEE_RIGHT
143,144,0.0057,0.0145,HIP_RIGHT
144,145,0.0002,0.0005,BACK_RIGHT
145,146,0.0,0.0001,HIP_RIGHT
146,147,0.0037,0.0122,EAR_RIGHT
147,148,0.001,0.0031,BACK_RIGHT
148,149,0.0057,0.0174,EAR_LEFT
149,150,0.0071,0.0199,FOOT_LEFT
150,151,0.0046,0.0108,KNEE_RIGHT
151,152,0.0,0.0,PELVIS
152,153,0.0057,0.0166,EAR_LEFT
153,154,0.0353,0.0915,EAR_RIGHT
154,155,0.0387,0.1212,EAR_RIGHT
155,156,0.0449,0.1388,NOSE
156,157,0.0377,0.1416,EAR_RIGHT
157,158,0.0073,0.0383,EAR_LEFT
158,159,0.0235,0.0816,EAR_RIGHT
159,160,0.0174,0.0995,EAR_RIGHT
160,161,0.0173,0.0823,EAR_RIGHT
161,162,0.0147,0.0567,EAR_RIGHT
162,163,0.0011,0.0027,BACK_LEFT
163,164,0.0094,0.0268,EAR_RIGHT
164,165,0.0179,0.0465,HIP_RIGHT
165,166,0.0001,0.0003,NOSE
166,167,0.0,0.0,PELVIS
167,168,0.0186,0.0658,HEAD
168,169,0.0184,0.1021,FOOT_RIGHT
169,170,0.0152,0.0946,NOSE
170,171,0.0143,0.0577,NOSE
171,172,0.0,0.0001,NOSE
172,173,0.0003,0.0011,NOSE
173,174,0.0041,0.022,FOOT_RIGHT
174,175,0.0107,0.0615,NOSE
175,176,0.0068,0.0621,NOSE
176,177,0.01,0.0651,NOSE
177,178,0.0096,0.0515,NOSE
178,179,0.0084,0.0448,NOSE
179,180,0.006,0.0315,NOSE
180,181,0.0045,0.0207,NOSE
181,182,0.0083,0.0324,NOSE
182,183,0.0078,0.0226,FOOT_RIGHT
183,184,0.006,0.0156,NOSE
184,185,0.0051,0.0139,EAR_RIGHT
185,186,0.0,0.0,HIP_RIGHT
186,187,0.0038,0.0092,FOOT_LEFT
187,188,0.0,0.0,PELVIS
188,189,0.0077,0.0229,FOOT_LEFT
189,190,0.0063,0.0205,FOOT_LEFT
190,191,0.0,0.0,PELVIS
191,192,0.0166,0.0756,HIP_RIGHT
192,193,0.0057,0.0169,EAR_RIGHT
193,194,0.0417,0.262,EAR_LEFT
194,195,0.0238,0.1213,EAR_RIGHT
195,196,0.0217,0.1151,EAR_LEFT
196,197,0.0001,0.0005,NOSE
197,198,0.0149,0.0761,EAR_RIGHT
198,199,0.0003,0.0007,HIP_RIGHT
199,200,0.0206,0.1333,EAR_RIGHT
200,201,0.007,0.0444,EAR_RIGHT
201,202,0.0135,0.085,EAR_LEFT
202,203,0.0203,0.0775,EAR_LEFT
203,204,0.0143,0.0482,EAR_RIGHT
204,205,0.0077,0.0488,EAR_RIGHT
205,206,0.0162,0.0615,EAR_RIGHT
206,207,0.0141,0.0947,FOOT_LEFT
207,208,0.0131,0.0555,HIP_RIGHT
208,209,0.0,0.0,KNEE_RIGHT
209,210,0.0304,0.167,HIP_RIGHT
210,211,0.0144,0.0358,FOOT_RIGHT
211,212,0.0183,0.0442,FOOT_RIGHT
212,213,0.041,0.2266,ELBOW_RIGHT
213,214,0.0299,0.0956,CLAVICLE_RIGHT
214,215,0.0173,0.106,ANKLE_LEFT
215,216,0.0308,0.092,ANKLE_LEFT
216,217,0.0117,0.0232,NOSE
217,218,0.027,0.1558,SHOULDER_RIGHT
218,219,0.0138,0.0285,EYE_RIGHT
219,220,0.0114,0.0244,EAR_LEFT
220,221,0.0116,0.0271,HEAD
221,222,0.0093,0.0244,NOSE
222,223,0.0093,0.0234,EYE_RIGHT
223,224,0.0048,0.0188,EAR_RIGHT
224,225,0.0011,0.0035,BICEPS_LEFT
225,226,0.0,0.0001,BICEPS_LEFT
226,227,0.0063,0.0488,HIP_RIGHT
227,228,0.0089,0.0249,HIP_RIGHT
228,229,0.0065,0.0433,HIP_RIGHT
229,230,0.0,0.0001,HIP_RIGHT
230,231,0.0,0.0,BACK_LEFT
231,232,0.0009,0.0024,HIP_RIGHT
232,233,0.0,0.0,HIP_RIGHT
233,234,0.0006,0.0022,HIP_RIGHT
234,235,0.0005,0.0021,HIP_RIGHT
235,236,0.0,0.0,PELVIS
236,237,0.0099,0.0308,HIP_RIGHT
