bone_name,mean_length_m,std_length_m,cv,stable
neck_to_head,1.0447,0.0724,0.0693,True
neck_to_l_clavicle,0.0469,0.0026,0.0550,True
l_clavicle_to_shoulder,0.1367,0.0075,0.0550,True
l_shoulder_to_elbow,0.2642,0.0145,0.0550,True
l_elbow_to_wrist,0.2218,0.0122,0.0550,True
neck_to_r_clavicle,0.4759,0.0764,0.1605,True
r_clavicle_to_shoulder,0.1033,0.0057,0.0550,True
r_shoulder_to_elbow,0.0890,0.0127,0.1429,True
r_elbow_to_wrist,0.3906,0.0791,0.2025,True
