joint_name,mean_confidence,median_confidence,std_confidence,count_none,count_low,count_medium,count_high,total,reference_valid_ratio
PELVIS,1.996,2.000,0.062,0,1,258,0,259,0.9961
SPINE_NAVAL,2.000,2.000,0.000,0,0,259,0,259,1.0000
SPINE_CHEST,2.000,2.000,0.000,0,0,259,0,259,1.0000
NECK,2.000,2.000,0.000,0,0,259,0,259,1.0000
CLAVICLE_LEFT,1.977,2.000,0.150,0,6,253,0,259,0.9768
SHOULDER_LEFT,1.977,2.000,0.150,0,6,253,0,259,0.9768
ELBOW_LEFT,1.811,2.000,0.392,0,49,210,0,259,0.8108
WRIST_LEFT,1.344,1.000,0.475,0,170,89,0,259,0.3436
CLAVICLE_RIGHT,1.328,1.000,0.470,0,174,85,0,259,0.3282
SHOULDER_RIGHT,1.290,1.000,0.454,0,184,75,0,259,0.2896
ELBOW_RIGHT,1.328,1.000,0.470,0,174,85,0,259,0.3282
WRIST_RIGHT,1.996,2.000,0.062,0,1,258,0,259,0.9961
HIP_LEFT,1.996,2.000,0.062,0,1,258,0,259,0.9961
KNEE_LEFT,1.996,2.000,0.062,0,1,258,0,259,0.9961
ANKLE_LEFT,1.985,2.000,0.123,0,4,255,0,259,0.9846
FOOT_LEFT,1.973,2.000,0.162,0,7,252,0,259,0.9730
HIP_RIGHT,1.950,2.000,0.218,0,13,246,0,259,0.9498
KNEE_RIGHT,1.958,2.000,0.202,0,11,248,0,259,0.9575
ANKLE_RIGHT,1.730,2.000,0.444,0,70,189,0,259,0.7297
FOOT_RIGHT,1.027,1.000,0.162,0,252,7,0,259,0.0270
HEAD,1.000,1.000,0.000,0,259,0,0,259,0.0000
NOSE,1.000,1.000,0.000,0,259,0,0,259,0.0000
EYE_LEFT,1.842,2.000,0.365,0,41,218,0,259,0.8417
EAR_LEFT,1.355,1.000,0.479,0,167,92,0,259,0.3552
EYE_RIGHT,1.023,1.000,0.150,0,253,6,0,259,0.0232
EAR_RIGHT,1.023,1.000,0.150,0,253,6,0,259,0.0232
WRIST_THUMB_LEFT,2.000,2.000,0.000,0,0,259,0,259,1.0000
BICEPS_LEFT,1.996,2.000,0.062,0,1,258,0,259,0.9961
WRIST_THUMB_RIGHT,1.973,2.000,0.162,0,7,252,0,259,0.9730
BICEPS_RIGHT,1.911,2.000,0.284,0,23,236,0,259,0.9112
BACK_LEFT,1.992,2.000,0.088,0,2,257,0,259,0.9923
BACK_RIGHT,1.988,2.000,0.107,0,3,256,0,259,0.9884
