frame_index,source_frame_index,body_id,flags,detail,reviewer_decision
0,1,1,high_speed_RElbow: 3.22m/s,,
1,2,1,low_confidence: RShoulder(conf=1),,
7,8,1,low_confidence: RShoulder(conf=1),,
12,13,1,low_confidence: RShoulder(conf=1),,
14,15,1,low_confidence: RShoulder(conf=1),,
15,16,1,low_confidence: RShoulder(conf=1),,
30,31,1,large_jump: EAR_RIGHT moved 0.353m,,
32,33,1,low_confidence: RShoulder(conf=1),,
33,34,1,low_confidence: RShoulder(conf=1),,
34,35,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); large_jump: EAR_RIGHT moved 0.221m",,
35,36,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); large_jump: EAR_RIGHT moved 0.154m",,
36,37,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
37,38,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); large_jump: EAR_RIGHT moved 0.213m",,
39,40,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
40,41,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); large_jump: EAR_RIGHT moved 0.273m",,
41,42,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
42,43,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1), LShoulder(conf=1)",,
43,44,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
44,45,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1), LShoulder(conf=1)",,
45,46,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1), LShoulder(conf=1)",,
46,47,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1), LShoulder(conf=1)",,
47,48,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1), LShoulder(conf=1)",,
48,49,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1), LShoulder(conf=1)",,
49,50,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
50,51,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
51,52,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
52,53,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
53,54,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
54,55,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
55,56,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
56,57,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
57,58,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
58,59,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
59,60,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
60,61,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
61,62,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
62,63,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
63,64,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); large_jump: WRIST_LEFT moved 0.156m",,
64,65,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
65,66,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
66,67,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
67,68,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
68,69,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
69,70,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
70,71,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
71,72,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
72,73,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
73,74,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
74,75,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
75,76,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
76,77,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
77,78,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
