frame_index,color_timestamp_usec,depth_timestamp_usec,color_path,depth_path
1,301866,301866,color/frame_000001.jpg,depth/frame_000001.png
2,335200,335155,color/frame_000002.jpg,depth/frame_000002.png
3,368500,368533,color/frame_000003.jpg,depth/frame_000003.png
4,401844,401866,color/frame_000004.jpg,depth/frame_000004.png
5,435177,435200,color/frame_000005.jpg,depth/frame_000005.png
6,468522,468511,color/frame_000006.jpg,depth/frame_000006.png
7,501833,501866,color/frame_000007.jpg,depth/frame_000007.png
8,535177,535188,color/frame_000008.jpg,depth/frame_000008.png
9,568500,568533,color/frame_000009.jpg,depth/frame_000009.png
10,601844,601855,color/frame_000010.jpg,depth/frame_000010.png
11,635166,635200,color/frame_000011.jpg,depth/frame_000011.png
12,668500,668522,color/frame_000012.jpg,depth/frame_000012.png
13,701844,701866,color/frame_000013.jpg,depth/frame_000013.png
14,735177,735200,color/frame_000014.jpg,depth/frame_000014.png
15,768511,768533,color/frame_000015.jpg,depth/frame_000015.png
16,801855,801855,color/frame_000016.jpg,depth/frame_000016.png
17,835177,835200,color/frame_000017.jpg,depth/frame_000017.png
18,868522,868511,color/frame_000018.jpg,depth/frame_000018.png
19,901833,901866,color/frame_000019.jpg,depth/frame_000019.png
20,935177,935188,color/frame_000020.jpg,depth/frame_000020.png
21,968500,968533,color/frame_000021.jpg,depth/frame_000021.png
22,1001844,1001855,color/frame_000022.jpg,depth/frame_000022.png
23,1035166,1035200,color/frame_000023.jpg,depth/frame_000023.png
24,1068511,1068522,color/frame_000024.jpg,depth/frame_000024.png
25,1101833,1101866,color/frame_000025.jpg,depth/frame_000025.png
26,1135177,1135188,color/frame_000026.jpg,depth/frame_000026.png
27,1168500,1168533,color/frame_000027.jpg,depth/frame_000027.png
28,1201844,1201855,color/frame_000028.jpg,depth/frame_000028.png
29,1235177,1235200,color/frame_000029.jpg,depth/frame_000029.png
30,1268511,1268511,color/frame_000030.jpg,depth/frame_000030.png
31,1301833,1301866,color/frame_000031.jpg,depth/frame_000031.png
32,1335177,1335188,color/frame_000032.jpg,depth/frame_000032.png
33,1368500,1368533,color/frame_000033.jpg,depth/frame_000033.png
34,1401833,1401866,color/frame_000034.jpg,depth/frame_000034.png
35,1435177,1435200,color/frame_000035.jpg,depth/frame_000035.png
36,1468511,1468522,color/frame_000036.jpg,depth/frame_000036.png
37,1501833,1501866,color/frame_000037.jpg,depth/frame_000037.png
38,1535177,1535200,color/frame_000038.jpg,depth/frame_000038.png
39,1568511,1568533,color/frame_000039.jpg,depth/frame_000039.png
40,1601844,1601844,color/frame_000040.jpg,depth/frame_000040.png
41,1635166,1635200,color/frame_000041.jpg,depth/frame_000041.png
42,1668511,1668522,color/frame_000042.jpg,depth/frame_000042.png
43,1701833,1701866,color/frame_000043.jpg,depth/frame_000043.png
44,1735177,1735188,color/frame_000044.jpg,depth/frame_000044.png
45,1768500,1768533,color/frame_000045.jpg,depth/frame_000045.png
46,1801833,1801855,color/frame_000046.jpg,depth/frame_000046.png
47,1835177,1835200,color/frame_000047.jpg,depth/frame_000047.png
48,1868511,1868522,color/frame_000048.jpg,depth/frame_000048.png
49,1901833,1901866,color/frame_000049.jpg,depth/frame_000049.png
50,1935177,1935188,color/frame_000050.jpg,depth/frame_000050.png
51,1968500,1968533,color/frame_000051.jpg,depth/frame_000051.png
52,2001844,2001855,color/frame_000052.jpg,depth/frame_000052.png
53,2035166,2035200,color/frame_000053.jpg,depth/frame_000053.png
54,2068500,2068533,color/frame_000054.jpg,depth/frame_000054.png
55,2101844,2101866,color/frame_000055.jpg,depth/frame_000055.png
56,2135177,2135188,color/frame_000056.jpg,depth/frame_000056.png
57,2168500,2168533,color/frame_000057.jpg,depth/frame_000057.png
58,2201844,2201855,color/frame_000058.jpg,depth/frame_000058.png
59,2235166,2235200,color/frame_000059.jpg,depth/frame_000059.png
60,2268511,2268533,color/frame_000060.jpg,depth/frame_000060.png
61,2301844,2301866,color/frame_000061.jpg,depth/frame_000061.png
62,2335188,2335177,color/frame_000062.jpg,depth/frame_000062.png
63,2368500,2368533,color/frame_000063.jpg,depth/frame_000063.png
64,2401844,2401866,color/frame_000064.jpg,depth/frame_000064.png
65,2435177,2435200,color/frame_000065.jpg,depth/frame_000065.png
66,2468522,2468511,color/frame_000066.jpg,depth/frame_000066.png
67,2501833,2501866,color/frame_000067.jpg,depth/frame_000067.png
68,2535166,2535200,color/frame_000068.jpg,depth/frame_000068.png
69,2568511,2568533,color/frame_000069.jpg,depth/frame_000069.png
70,2601844,2601866,color/frame_000070.jpg,depth/frame_000070.png
71,2635177,2635200,color/frame_000071.jpg,depth/frame_000071.png
72,2668522,2668511,color/frame_000072.jpg,depth/frame_000072.png
73,2701833,2701866,color/frame_000073.jpg,depth/frame_000073.png
74,2735166,2735188,color/frame_000074.jpg,depth/frame_000074.png
75,2768500,2768533,color/frame_000075.jpg,depth/frame_000075.png
76,2801844,2801855,color/frame_000076.jpg,depth/frame_000076.png
77,2835166,2835200,color/frame_000077.jpg,depth/frame_000077.png
78,2868511,2868522,color/frame_000078.jpg,depth/frame_000078.png
79,2901833,2901866,color/frame_000079.jpg,depth/frame_000079.png
80,2935166,2935188,color/frame_000080.jpg,depth/frame_000080.png
81,2968500,2968533,color/frame_000081.jpg,depth/frame_000081.png
82,3001844,3001866,color/frame_000082.jpg,depth/frame_000082.png
83,3035177,3035200,color/frame_000083.jpg,depth/frame_000083.png
84,3068511,3068511,color/frame_000084.jpg,depth/frame_000084.png
85,3101844,3101866,color/frame_000085.jpg,depth/frame_000085.png
86,3135177,3135188,color/frame_000086.jpg,depth/frame_000086.png
87,3168500,3168533,color/frame_000087.jpg,depth/frame_000087.png
88,3201844,3201855,color/frame_000088.jpg,depth/frame_000088.png
89,3235166,3235200,color/frame_000089.jpg,depth/frame_000089.png
90,3268500,3268522,color/frame_000090.jpg,depth/frame_000090.png
91,3301833,3301866,color/frame_000091.jpg,depth/frame_000091.png
92,3335177,3335188,color/frame_000092.jpg,depth/frame_000092.png
93,3368500,3368533,color/frame_000093.jpg,depth/frame_000093.png
94,3401844,3401855,color/frame_000094.jpg,depth/frame_000094.png
95,3435177,3435200,color/frame_000095.jpg,depth/frame_000095.png
96,3468511,3468522,color/frame_000096.jpg,depth/frame_000096.png
97,3501844,3501866,color/frame_000097.jpg,depth/frame_000097.png
98,3535177,3535188,color/frame_000098.jpg,depth/frame_000098.png
99,3568511,3568533,color/frame_000099.jpg,depth/frame_000099.png
100,3601844,3601866,color/frame_000100.jpg,depth/frame_000100.png
101,3635177,3635200,color/frame_000101.jpg,depth/frame_000101.png
102,3668522,3668511,color/frame_000102.jpg,depth/frame_000102.png
103,3701833,3701866,color/frame_000103.jpg,depth/frame_000103.png
104,3735166,3735188,color/frame_000104.jpg,depth/frame_000104.png
105,3768500,3768533,color/frame_000105.jpg,depth/frame_000105.png
106,3801844,3801855,color/frame_000106.jpg,depth/frame_000106.png
107,3835166,3835200,color/frame_000107.jpg,depth/frame_000107.png
108,3868500,3868522,color/frame_000108.jpg,depth/frame_000108.png
109,3901833,3901866,color/frame_000109.jpg,depth/frame_000109.png
110,3935177,3935188,color/frame_000110.jpg,depth/frame_000110.png
111,3968500,3968533,color/frame_000111.jpg,depth/frame_000111.png
112,4001844,4001866,color/frame_000112.jpg,depth/frame_000112.png
