prev_frame,curr_frame,mean_jump_m,max_jump_m,max_jump_joint
1,2,0.0755,0.1611,NOSE
2,3,0.0152,0.0611,ELBOW_RIGHT
3,4,0.0001,0.0004,SHOULDER_RIGHT
4,5,0.0004,0.0014,ELBOW_RIGHT
5,6,0.0,0.0,PELVIS
6,7,0.0,0.0,PELVIS
7,8,0.0,0.0,PELVIS
8,9,0.0,0.0,PELVIS
9,10,0.0,0.0,PELVIS
10,11,0.0,0.0,PELVIS
11,12,0.0,0.0,PELVIS
12,13,0.0,0.0,PELVIS
13,14,0.0,0.0,PELVIS
14,15,0.0,0.0,PELVIS
15,16,0.0,0.0,PELVIS
16,17,0.0,0.0,PELVIS
17,18,0.0,0.0,PELVIS
18,19,0.0021,0.0089,SHOULDER_RIGHT
19,20,0.0,0.0,CLAVICLE_RIGHT
20,21,0.0,0.0,SHOULDER_RIGHT
21,22,0.0,0.0,PELVIS
22,23,0.0069,0.0309,SHOULDER_RIGHT
23,24,0.0136,0.0462,SHOULDER_RIGHT
24,25,0.023,0.0684,EAR_LEFT
25,26,0.0249,0.0944,EAR_LEFT
26,27,0.0022,0.0059,BICEPS_RIGHT
27,28,0.0006,0.0039,EAR_RIGHT
28,29,0.0025,0.0086,HIP_RIGHT
29,30,0.0265,0.0614,FOOT_RIGHT
30,31,0.0,0.0001,HIP_RIGHT
31,32,0.0343,0.0995,WRIST_LEFT
32,33,0.0402,0.0963,KNEE_LEFT
33,34,0.0369,0.1013,EAR_RIGHT
34,35,0.0196,0.0795,EAR_RIGHT
35,36,0.0463,0.1398,HEAD
36,37,0.0399,0.1433,NOSE
37,38,0.0182,0.081,NOSE
38,39,0.0152,0.053,WRIST_LEFT
39,40,0.0065,0.0243,EAR_RIGHT
40,41,0.0211,0.059,NOSE
41,42,0.0169,0.0514,EAR_RIGHT
42,43,0.0215,0.0717,EAR_RIGHT
43,44,0.0215,0.0875,WRIST_LEFT
44,45,0.0223,0.0532,EYE_RIGHT
45,46,0.0013,0.0054,NOSE
46,47,0.0115,0.0424,HIP_RIGHT
47,48,0.0148,0.0417,EYE_RIGHT
48,49,0.0176,0.0828,WRIST_LEFT
49,50,0.0154,0.039,HIP_RIGHT
50,51,0.011,0.0368,NOSE
51,52,0.0159,0.116,EAR_LEFT
52,53,0.0304,0.1692,EYE_RIGHT
53,54,0.0169,0.0861,EAR_RIGHT
54,55,0.0184,0.0941,EAR_RIGHT
55,56,0.0106,0.0331,HEAD
56,57,0.0095,0.0364,EAR_LEFT
57,58,0.0086,0.0369,KNEE_RIGHT
58,59,0.0003,0.0014,EAR_LEFT
