bone_name,mean_length_m,std_length_m,cv,stable
neck_to_head,0.8980,0.1508,0.1679,True
neck_to_l_clavicle,0.0431,0.0039,0.0910,True
l_clavicle_to_shoulder,0.1257,0.0114,0.0910,True
l_shoulder_to_elbow,0.2430,0.0221,0.0910,True
l_elbow_to_wrist,0.2040,0.0186,0.0910,True
neck_to_r_clavicle,0.4681,0.0810,0.1731,True
r_clavicle_to_shoulder,0.0950,0.0086,0.0910,True
r_shoulder_to_elbow,0.0736,0.0284,0.3863,False
r_elbow_to_wrist,0.3679,0.0549,0.1491,True
