joint_name,mean_confidence,median_confidence,std_confidence,count_none,count_low,count_medium,count_high,total,reference_valid_ratio
PELVIS,2.000,2.000,0.000,0,0,536,0,536,1.0000
SPINE_NAVAL,2.000,2.000,0.000,0,0,536,0,536,1.0000
SPINE_CHEST,2.000,2.000,0.000,0,0,536,0,536,1.0000
NECK,2.000,2.000,0.000,0,0,536,0,536,1.0000
CLAVICLE_LEFT,1.998,2.000,0.043,0,1,535,0,536,0.9981
SHOULDER_LEFT,1.998,2.000,0.043,0,1,535,0,536,0.9981
ELBOW_LEFT,1.647,2.000,0.478,0,189,347,0,536,0.6474
WRIST_LEFT,1.194,1.000,0.395,0,432,104,0,536,0.1940
CLAVICLE_RIGHT,1.136,1.000,0.343,0,463,73,0,536,0.1362
SHOULDER_RIGHT,1.104,1.000,0.306,0,480,56,0,536,0.1045
ELBOW_RIGHT,1.157,1.000,0.364,0,452,84,0,536,0.1567
WRIST_RIGHT,1.998,2.000,0.043,0,1,535,0,536,0.9981
HIP_LEFT,1.998,2.000,0.043,0,1,535,0,536,0.9981
KNEE_LEFT,1.993,2.000,0.086,0,4,532,0,536,0.9925
ANKLE_LEFT,1.972,2.000,0.165,0,15,521,0,536,0.9720
FOOT_LEFT,1.961,2.000,0.194,0,21,515,0,536,0.9608
HIP_RIGHT,1.955,2.000,0.207,0,24,512,0,536,0.9552
KNEE_RIGHT,1.951,2.000,0.215,0,26,510,0,536,0.9515
ANKLE_RIGHT,1.957,2.000,0.203,0,23,513,0,536,0.9571
FOOT_RIGHT,1.103,1.000,0.303,0,481,55,0,536,0.1026
HEAD,1.000,1.000,0.000,0,536,0,0,536,0.0000
NOSE,1.000,1.000,0.000,0,536,0,0,536,0.0000
EYE_LEFT,1.981,2.000,0.135,0,10,526,0,536,0.9813
EAR_LEFT,1.534,2.000,0.499,0,250,286,0,536,0.5336
EYE_RIGHT,1.119,1.000,0.324,0,472,64,0,536,0.1194
EAR_RIGHT,1.035,1.000,0.185,0,517,19,0,536,0.0354
WRIST_THUMB_LEFT,2.000,2.000,0.000,0,0,536,0,536,1.0000
BICEPS_LEFT,1.981,2.000,0.135,0,10,526,0,536,0.9813
WRIST_THUMB_RIGHT,1.963,2.000,0.190,0,20,516,0,536,0.9627
BICEPS_RIGHT,1.955,2.000,0.207,0,24,512,0,536,0.9552
BACK_LEFT,1.961,2.000,0.194,0,21,515,0,536,0.9608
BACK_RIGHT,1.955,2.000,0.207,0,24,512,0,536,0.9552
