bone_name,mean_length_m,std_length_m,cv,stable
neck_to_head,0.9623,0.1205,0.1252,True
neck_to_l_clavicle,0.0435,0.0036,0.0831,True
l_clavicle_to_shoulder,0.1269,0.0105,0.0831,True
l_shoulder_to_elbow,0.2453,0.0204,0.0831,True
l_elbow_to_wrist,0.2058,0.0171,0.0831,True
neck_to_r_clavicle,0.4591,0.0579,0.1262,True
r_clavicle_to_shoulder,0.0959,0.0080,0.0831,True
r_shoulder_to_elbow,0.0990,0.0398,0.4020,False
r_elbow_to_wrist,0.3899,0.0673,0.1725,True
