joint_name,mean_confidence,median_confidence,std_confidence,count_none,count_low,count_medium,count_high,total,reference_valid_ratio
PELVIS,1.986,2.000,0.117,0,5,356,0,361,0.9861
SPINE_NAVAL,2.000,2.000,0.000,0,0,361,0,361,1.0000
SPINE_CHEST,2.000,2.000,0.000,0,0,361,0,361,1.0000
NECK,2.000,2.000,0.000,0,0,361,0,361,1.0000
CLAVICLE_LEFT,1.986,2.000,0.117,0,5,356,0,361,0.9861
SHOULDER_LEFT,1.986,2.000,0.117,0,5,356,0,361,0.9861
ELBOW_LEFT,1.673,2.000,0.469,0,118,243,0,361,0.6731
WRIST_LEFT,1.299,1.000,0.458,0,253,108,0,361,0.2992
CLAVICLE_RIGHT,1.125,1.000,0.330,0,316,45,0,361,0.1247
SHOULDER_RIGHT,1.080,1.000,0.272,0,332,29,0,361,0.0803
ELBOW_RIGHT,1.263,1.000,0.440,0,266,95,0,361,0.2632
WRIST_RIGHT,1.989,2.000,0.105,0,4,357,0,361,0.9889
HIP_LEFT,1.989,2.000,0.105,0,4,357,0,361,0.9889
KNEE_LEFT,1.967,2.000,0.179,0,12,349,0,361,0.9668
ANKLE_LEFT,1.914,2.000,0.280,0,31,330,0,361,0.9141
FOOT_LEFT,1.895,2.000,0.307,0,38,323,0,361,0.8947
HIP_RIGHT,1.867,2.000,0.340,0,48,313,0,361,0.8670
KNEE_RIGHT,1.881,2.000,0.324,0,43,318,0,361,0.8809
ANKLE_RIGHT,1.842,2.000,0.365,0,57,304,0,361,0.8421
FOOT_RIGHT,1.017,1.000,0.128,0,355,6,0,361,0.0166
HEAD,1.000,1.000,0.000,0,361,0,0,361,0.0000
NOSE,1.000,1.000,0.000,0,361,0,0,361,0.0000
EYE_LEFT,1.909,2.000,0.288,0,33,328,0,361,0.9086
EAR_LEFT,1.452,1.000,0.498,0,198,163,0,361,0.4515
EYE_RIGHT,1.072,1.000,0.259,0,335,26,0,361,0.0720
EAR_RIGHT,1.053,1.000,0.223,0,342,19,0,361,0.0526
WRIST_THUMB_LEFT,2.000,2.000,0.000,0,0,361,0,361,1.0000
BICEPS_LEFT,1.967,2.000,0.179,0,12,349,0,361,0.9668
WRIST_THUMB_RIGHT,1.958,2.000,0.200,0,15,346,0,361,0.9584
BICEPS_RIGHT,1.936,2.000,0.244,0,23,338,0,361,0.9363
BACK_LEFT,1.956,2.000,0.206,0,16,345,0,361,0.9557
BACK_RIGHT,1.953,2.000,0.212,0,17,344,0,361,0.9529
