frame_index,source_frame_index,body_id,tier,flags,detail,reviewer_decision
4,5,1,WARNING,large_jump: SHOULDER_RIGHT moved 0.189m,,
35,36,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.586m,,
36,37,1,WARNING,large_jump: SHOULDER_RIGHT moved 0.182m,,
40,41,1,WARNING,large_jump: EAR_RIGHT moved 0.201m,,
41,42,1,WARNING,large_jump: EAR_RIGHT moved 0.194m,,
45,46,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.295m,,
47,48,1,WARNING,large_jump: EAR_RIGHT moved 0.215m,,
48,49,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.331m,,
58,59,1,CRITICAL,CRITICAL_jump: HIP_RIGHT moved 0.911m,,
59,60,1,CRITICAL,CRITICAL_jump: BICEPS_LEFT moved 0.317m,,
60,61,1,CRITICAL,CRITICAL_jump: NOSE moved 1.824m,,
61,62,-1,CRITICAL,no_body_detected,,
62,63,-1,CRITICAL,no_body_detected,,
63,64,-1,CRITICAL,no_body_detected,,
64,65,-1,CRITICAL,no_body_detected,,
84,85,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.257m,,
102,103,1,CRITICAL,CRITICAL_jump: SHOULDER_RIGHT moved 0.270m,,
103,104,1,WARNING,large_jump: SHOULDER_RIGHT moved 0.160m,,
104,105,1,WARNING,large_jump: EYE_RIGHT moved 0.230m,,
131,132,1,WARNING,large_jump: EYE_RIGHT moved 0.231m,,
142,143,1,WARNING,large_jump: EAR_RIGHT moved 0.186m,,
155,156,1,WARNING,large_jump: EAR_RIGHT moved 0.223m,,
206,207,1,WARNING,large_jump: FOOT_RIGHT moved 0.199m,,
207,208,1,WARNING,large_jump: ANKLE_LEFT moved 0.186m,,
208,209,-1,CRITICAL,no_body_detected,,
209,210,-1,CRITICAL,no_body_detected,,
210,211,-1,CRITICAL,no_body_detected,,
211,212,-1,CRITICAL,no_body_detected,,
213,214,1,WARNING,large_jump: ANKLE_LEFT moved 0.154m,,
222,223,1,WARNING,large_jump: FOOT_LEFT moved 0.188m,,
226,227,1,WARNING,large_jump: EAR_LEFT moved 0.222m,,
227,228,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.567m,,
229,230,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.381m,,
264,265,1,CRITICAL,CRITICAL_jump: HIP_RIGHT moved 0.266m,,
267,268,1,WARNING,large_jump: EAR_LEFT moved 0.202m,,
288,289,1,WARNING,large_jump: EAR_RIGHT moved 0.190m,,
311,312,1,WARNING,large_jump: ANKLE_LEFT moved 0.246m,,
314,315,1,CRITICAL,CRITICAL_jump: SHOULDER_RIGHT moved 0.267m,,
