frame_index,source_frame_index,body_id,tier,flags,detail,reviewer_decision
1,2,1,WARNING,large_jump: EAR_RIGHT moved 0.196m,,
4,5,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.329m,,
30,31,1,WARNING,large_jump: EAR_RIGHT moved 0.175m,,
39,40,1,WARNING,large_jump: EAR_RIGHT moved 0.241m,,
41,42,1,WARNING,large_jump: WRIST_LEFT moved 0.183m,,
43,44,1,CRITICAL,CRITICAL_jump: ELBOW_RIGHT moved 0.581m; high_speed_RWrist: 3.01m/s,,
44,45,1,WARNING,large_jump: EAR_RIGHT moved 0.241m,,
45,46,1,CRITICAL,CRITICAL_jump: NOSE moved 0.871m,,
46,47,-1,CRITICAL,no_body_detected,,
47,48,-1,CRITICAL,no_body_detected,,
48,49,-1,CRITICAL,no_body_detected,,
49,50,-1,CRITICAL,no_body_detected,,
50,51,-1,CRITICAL,no_body_detected,,
51,52,-1,CRITICAL,no_body_detected,,
52,53,-1,CRITICAL,no_body_detected,,
65,66,1,WARNING,large_jump: EAR_RIGHT moved 0.157m,,
80,81,1,WARNING,large_jump: EAR_RIGHT moved 0.186m,,
87,88,1,WARNING,large_jump: EAR_RIGHT moved 0.159m,,
141,142,1,CRITICAL,CRITICAL_jump: HIP_RIGHT moved 0.912m,,
143,144,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 1.517m,,
172,173,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.291m,,
194,195,1,WARNING,large_jump: EAR_LEFT moved 0.230m,,
197,198,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.264m,,
233,234,1,WARNING,large_jump: SHOULDER_RIGHT moved 0.187m,,
