joint_name,mean_confidence,median_confidence,std_confidence,count_none,count_low,count_medium,count_high,total,reference_valid_ratio
PELVIS,2.000,2.000,0.000,0,0,271,0,271,1.0000
SPINE_NAVAL,2.000,2.000,0.000,0,0,271,0,271,1.0000
SPINE_CHEST,2.000,2.000,0.000,0,0,271,0,271,1.0000
NECK,2.000,2.000,0.000,0,0,271,0,271,1.0000
CLAVICLE_LEFT,1.993,2.000,0.086,0,2,269,0,271,0.9926
SHOULDER_LEFT,1.993,2.000,0.086,0,2,269,0,271,0.9926
ELBOW_LEFT,1.860,2.000,0.347,0,38,233,0,271,0.8598
WRIST_LEFT,1.347,1.000,0.476,0,177,94,0,271,0.3469
CLAVICLE_RIGHT,1.255,1.000,0.436,0,202,69,0,271,0.2546
SHOULDER_RIGHT,1.218,1.000,0.413,0,212,59,0,271,0.2177
ELBOW_RIGHT,1.229,1.000,0.420,0,209,62,0,271,0.2288
WRIST_RIGHT,1.993,2.000,0.086,0,2,269,0,271,0.9926
HIP_LEFT,1.993,2.000,0.086,0,2,269,0,271,0.9926
KNEE_LEFT,1.989,2.000,0.105,0,3,268,0,271,0.9889
ANKLE_LEFT,1.978,2.000,0.147,0,6,265,0,271,0.9779
FOOT_LEFT,1.970,2.000,0.169,0,8,263,0,271,0.9705
HIP_RIGHT,1.948,2.000,0.221,0,14,257,0,271,0.9483
KNEE_RIGHT,1.941,2.000,0.236,0,16,255,0,271,0.9410
ANKLE_RIGHT,1.819,2.000,0.385,0,49,222,0,271,0.8192
FOOT_RIGHT,1.015,1.000,0.121,0,267,4,0,271,0.0148
HEAD,1.000,1.000,0.000,0,271,0,0,271,0.0000
NOSE,1.000,1.000,0.000,0,271,0,0,271,0.0000
EYE_LEFT,1.860,2.000,0.347,0,38,233,0,271,0.8598
EAR_LEFT,1.461,1.000,0.498,0,146,125,0,271,0.4613
EYE_RIGHT,1.100,1.000,0.300,0,244,27,0,271,0.0996
EAR_RIGHT,1.055,1.000,0.229,0,256,15,0,271,0.0554
WRIST_THUMB_LEFT,1.996,2.000,0.061,0,1,270,0,271,0.9963
BICEPS_LEFT,1.993,2.000,0.086,0,2,269,0,271,0.9926
WRIST_THUMB_RIGHT,1.956,2.000,0.206,0,12,259,0,271,0.9557
BICEPS_RIGHT,1.897,2.000,0.304,0,28,243,0,271,0.8967
BACK_LEFT,1.989,2.000,0.105,0,3,268,0,271,0.9889
BACK_RIGHT,1.989,2.000,0.105,0,3,268,0,271,0.9889
