joint_name,mean_confidence,median_confidence,std_confidence,count_none,count_low,count_medium,count_high,total,reference_valid_ratio
PELVIS,N/A,N/A,N/A,0,0,0,0,0,0.0000
SPINE_NAVAL,N/A,N/A,N/A,0,0,0,0,0,0.0000
SPINE_CHEST,N/A,N/A,N/A,0,0,0,0,0,0.0000
NECK,N/A,N/A,N/A,0,0,0,0,0,0.0000
CLAVICLE_LEFT,N/A,N/A,N/A,0,0,0,0,0,0.0000
SHOULDER_LEFT,N/A,N/A,N/A,0,0,0,0,0,0.0000
ELBOW_LEFT,N/A,N/A,N/A,0,0,0,0,0,0.0000
WRIST_LEFT,N/A,N/A,N/A,0,0,0,0,0,0.0000
CLAVICLE_RIGHT,N/A,N/A,N/A,0,0,0,0,0,0.0000
SHOULDER_RIGHT,N/A,N/A,N/A,0,0,0,0,0,0.0000
ELBOW_RIGHT,N/A,N/A,N/A,0,0,0,0,0,0.0000
WRIST_RIGHT,N/A,N/A,N/A,0,0,0,0,0,0.0000
HIP_LEFT,N/A,N/A,N/A,0,0,0,0,0,0.0000
KNEE_LEFT,N/A,N/A,N/A,0,0,0,0,0,0.0000
ANKLE_LEFT,N/A,N/A,N/A,0,0,0,0,0,0.0000
FOOT_LEFT,N/A,N/A,N/A,0,0,0,0,0,0.0000
HIP_RIGHT,N/A,N/A,N/A,0,0,0,0,0,0.0000
KNEE_RIGHT,N/A,N/A,N/A,0,0,0,0,0,0.0000
ANKLE_RIGHT,N/A,N/A,N/A,0,0,0,0,0,0.0000
FOOT_RIGHT,N/A,N/A,N/A,0,0,0,0,0,0.0000
HEAD,N/A,N/A,N/A,0,0,0,0,0,0.0000
NOSE,N/A,N/A,N/A,0,0,0,0,0,0.0000
EYE_LEFT,N/A,N/A,N/A,0,0,0,0,0,0.0000
EAR_LEFT,N/A,N/A,N/A,0,0,0,0,0,0.0000
EYE_RIGHT,N/A,N/A,N/A,0,0,0,0,0,0.0000
EAR_RIGHT,N/A,N/A,N/A,0,0,0,0,0,0.0000
WRIST_THUMB_LEFT,N/A,N/A,N/A,0,0,0,0,0,0.0000
BICEPS_LEFT,N/A,N/A,N/A,0,0,0,0,0,0.0000
WRIST_THUMB_RIGHT,N/A,N/A,N/A,0,0,0,0,0,0.0000
BICEPS_RIGHT,N/A,N/A,N/A,0,0,0,0,0,0.0000
BACK_LEFT,N/A,N/A,N/A,0,0,0,0,0,0.0000
BACK_RIGHT,N/A,N/A,N/A,0,0,0,0,0,0.0000
