frame_index,source_frame_index,body_id,tier,flags,detail,reviewer_decision
30,31,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.446m,,
34,35,1,WARNING,large_jump: EAR_RIGHT moved 0.165m,,
36,37,1,WARNING,large_jump: EAR_RIGHT moved 0.181m,,
37,38,1,WARNING,large_jump: EAR_RIGHT moved 0.211m,,
38,39,1,WARNING,large_jump: EAR_RIGHT moved 0.150m,,
45,46,1,WARNING,large_jump: FOOT_RIGHT moved 0.221m,,
46,47,1,WARNING,large_jump: EYE_RIGHT moved 0.222m,,
47,48,1,WARNING,large_jump: EAR_RIGHT moved 0.155m,,
61,62,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.912m,,
69,70,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.363m,,
71,72,1,WARNING,large_jump: EAR_RIGHT moved 0.179m,,
78,79,1,WARNING,large_jump: EAR_RIGHT moved 0.162m,,
89,90,1,WARNING,large_jump: WRIST_LEFT moved 0.156m,,
108,109,1,WARNING,large_jump: EAR_RIGHT moved 0.168m,,
109,110,1,WARNING,large_jump: EAR_RIGHT moved 0.197m,,
116,117,1,WARNING,large_jump: KNEE_RIGHT moved 0.176m,,
117,118,1,CRITICAL,CRITICAL_jump: NOSE moved 0.987m,,
119,120,1,WARNING,large_jump: EAR_RIGHT moved 0.213m,,
120,121,1,CRITICAL,CRITICAL_jump: NOSE moved 0.958m,,
125,126,1,WARNING,large_jump: ELBOW_RIGHT moved 0.155m,,
157,158,1,WARNING,large_jump: EAR_RIGHT moved 0.191m,,
178,179,1,WARNING,large_jump: EAR_RIGHT moved 0.173m,,
196,197,1,WARNING,large_jump: EAR_LEFT moved 0.167m,,
198,199,1,WARNING,large_jump: EAR_LEFT moved 0.191m,,
