bone_name,mean_length_m,std_length_m,cv,stable
neck_to_head,1.0267,0.1149,0.1119,True
neck_to_l_clavicle,0.0456,0.0028,0.0603,True
l_clavicle_to_shoulder,0.1331,0.0080,0.0603,True
l_shoulder_to_elbow,0.2572,0.0155,0.0603,True
l_elbow_to_wrist,0.2159,0.0130,0.0603,True
neck_to_r_clavicle,0.4906,0.0732,0.1492,True
r_clavicle_to_shoulder,0.1006,0.0061,0.0603,True
r_shoulder_to_elbow,0.1021,0.0432,0.4228,False
r_elbow_to_wrist,0.4437,0.0848,0.1911,True
