joint_name,mean_confidence,median_confidence,std_confidence,count_none,count_low,count_medium,count_high,total,reference_valid_ratio
PELVIS,2.000,2.000,0.000,0,0,241,0,241,1.0000
SPINE_NAVAL,2.000,2.000,0.000,0,0,241,0,241,1.0000
SPINE_CHEST,2.000,2.000,0.000,0,0,241,0,241,1.0000
NECK,2.000,2.000,0.000,0,0,241,0,241,1.0000
CLAVICLE_LEFT,1.975,2.000,0.156,0,6,235,0,241,0.9751
SHOULDER_LEFT,1.975,2.000,0.156,0,6,235,0,241,0.9751
ELBOW_LEFT,1.846,2.000,0.360,0,37,204,0,241,0.8465
WRIST_LEFT,1.270,1.000,0.444,0,176,65,0,241,0.2697
CLAVICLE_RIGHT,1.187,1.000,0.390,0,196,45,0,241,0.1867
SHOULDER_RIGHT,1.158,1.000,0.364,0,203,38,0,241,0.1577
ELBOW_RIGHT,1.187,1.000,0.390,0,196,45,0,241,0.1867
WRIST_RIGHT,2.000,2.000,0.000,0,0,241,0,241,1.0000
HIP_LEFT,2.000,2.000,0.000,0,0,241,0,241,1.0000
KNEE_LEFT,1.983,2.000,0.128,0,4,237,0,241,0.9834
ANKLE_LEFT,1.963,2.000,0.190,0,9,232,0,241,0.9627
FOOT_LEFT,1.950,2.000,0.218,0,12,229,0,241,0.9502
HIP_RIGHT,1.921,2.000,0.269,0,19,222,0,241,0.9212
KNEE_RIGHT,1.942,2.000,0.234,0,14,227,0,241,0.9419
ANKLE_RIGHT,1.905,2.000,0.294,0,23,218,0,241,0.9046
FOOT_RIGHT,1.012,1.000,0.111,0,238,3,0,241,0.0124
HEAD,1.000,1.000,0.000,0,241,0,0,241,0.0000
NOSE,1.000,1.000,0.000,0,241,0,0,241,0.0000
EYE_LEFT,1.950,2.000,0.218,0,12,229,0,241,0.9502
EAR_LEFT,1.452,1.000,0.498,0,132,109,0,241,0.4523
EYE_RIGHT,1.058,1.000,0.234,0,227,14,0,241,0.0581
EAR_RIGHT,1.021,1.000,0.143,0,236,5,0,241,0.0207
WRIST_THUMB_LEFT,2.000,2.000,0.000,0,0,241,0,241,1.0000
BICEPS_LEFT,2.000,2.000,0.000,0,0,241,0,241,1.0000
WRIST_THUMB_RIGHT,1.979,2.000,0.143,0,5,236,0,241,0.9793
BICEPS_RIGHT,1.892,2.000,0.310,0,26,215,0,241,0.8921
BACK_LEFT,1.996,2.000,0.064,0,1,240,0,241,0.9959
BACK_RIGHT,1.996,2.000,0.064,0,1,240,0,241,0.9959
