prev_frame,curr_frame,mean_jump_m,max_jump_m,max_jump_joint
1,2,0.0386,0.1005,NOSE
2,3,0.0,0.0001,BACK_RIGHT
3,4,0.0,0.0,BACK_RIGHT
4,5,0.0,0.0,PELVIS
5,6,0.0,0.0,BACK_LEFT
6,7,0.0,0.0,PELVIS
7,8,0.0317,0.0965,NOSE
8,9,0.0007,0.0039,NOSE
9,10,0.0,0.0,CLAVICLE_RIGHT
10,11,0.0,0.0,NOSE
11,12,0.0,0.0,BICEPS_RIGHT
12,13,0.0,0.0,PELVIS
13,14,0.0,0.0,ELBOW_RIGHT
14,15,0.0,0.0,NOSE
15,16,0.0,0.0,PELVIS
16,17,0.0,0.0,PELVIS
17,18,0.0,0.0,PELVIS
18,19,0.0,0.0,PELVIS
19,20,0.0,0.0,PELVIS
20,21,0.0,0.0,PELVIS
21,22,0.0018,0.007,SHOULDER_RIGHT
22,23,0.0,0.0,PELVIS
23,24,0.0,0.0,SHOULDER_RIGHT
24,25,0.0,0.0,PELVIS
25,26,0.0011,0.0063,NOSE
26,27,0.0004,0.0014,NOSE
27,28,0.0,0.0,PELVIS
28,29,0.0007,0.0024,NOSE
29,30,0.0169,0.0526,NOSE
30,31,0.054,0.4463,EAR_RIGHT
31,32,0.0021,0.0102,NOSE
32,33,0.0155,0.1105,CLAVICLE_RIGHT
33,34,0.0149,0.0714,ELBOW_RIGHT
34,35,0.0372,0.1653,EAR_RIGHT
35,36,0.0239,0.0921,EAR_RIGHT
36,37,0.0314,0.1815,EAR_RIGHT
37,38,0.0353,0.211,EAR_RIGHT
38,39,0.0409,0.1502,EAR_RIGHT
39,40,0.0276,0.1164,ELBOW_LEFT
40,41,0.0159,0.0474,ELBOW_LEFT
41,42,0.018,0.072,WRIST_LEFT
42,43,0.0222,0.0516,ELBOW_LEFT
43,44,0.0205,0.0356,EYE_RIGHT
44,45,0.0002,0.0006,EAR_RIGHT
45,46,0.0505,0.2214,FOOT_RIGHT
46,47,0.0774,0.2222,EYE_RIGHT
47,48,0.04,0.1552,EAR_RIGHT
48,49,0.032,0.0916,NOSE
49,50,0.0211,0.0625,WRIST_LEFT
50,51,0.0096,0.032,EAR_RIGHT
51,52,0.0141,0.0444,EAR_RIGHT
52,53,0.0219,0.1013,EAR_LEFT
53,54,0.0178,0.1005,EYE_RIGHT
54,55,0.0128,0.0375,EAR_LEFT
55,56,0.0057,0.0148,EAR_LEFT
56,57,0.0036,0.0178,EAR_RIGHT
57,58,0.0139,0.047,EAR_LEFT
58,59,0.0257,0.0952,EAR_RIGHT
59,60,0.043,0.1411,ANKLE_LEFT
60,61,0.0231,0.0782,EYE_RIGHT
61,62,0.2421,0.9125,EAR_RIGHT
62,63,0.0046,0.0168,BICEPS_LEFT
