video_id,frame_index,timestamp_sec,joint_name,speed_ms,velocity_x,velocity_y,velocity_z,accel_ms2,jerk_ms3,reference_valid
KVAL004,0,0.301866,Neck,0.500973,0.16455,0.03861,0.4716,7.514768,0.131061,True
KVAL004,1,0.335166,Neck,0.250481,0.08235,0.018915,0.2358,7.514728,56.362945,True
KVAL004,2,0.3685,Neck,0.000503,9e-05,-0.000495,0.0,3.757267,112.691033,True
KVAL004,3,0.401833,Neck,0.000106,1.5e-05,-0.000105,0.0,0.006784,56.327741,True
KVAL004,4,0.435177,Neck,0.000168,1.5e-05,-7.5e-05,-0.00015,0.002295,25.367817,True
KVAL004,5,0.4685,Neck,0.000168,1.5e-05,-7.5e-05,-0.00015,1.68957,25.296135,True
KVAL004,6,0.501833,Neck,0.112481,-0.004695,0.01041,0.1119,1.684218,50.733415,True
KVAL004,7,0.535166,Neck,0.112124,-0.004875,0.011265,0.11145,1.692689,50.491145,True
KVAL004,8,0.568511,Neck,0.000983,-0.00018,0.000855,-0.00045,1.681858,25.474316,True
KVAL004,9,0.601844,Neck,0.0,0.0,0.0,0.0,0.014547,25.228216,True
KVAL004,10,0.635177,Neck,1.5e-05,0.0,1.5e-05,0.0,0.000225,0.215287,True
KVAL004,11,0.6685,Neck,1.5e-05,0.0,1.5e-05,0.0,0.000225,0.007547,True
KVAL004,12,0.701844,Neck,0.0,0.0,0.0,0.0,0.000318,0.004773,True
KVAL004,13,0.735177,Neck,1.5e-05,-1.5e-05,0.0,0.0,0.000225,0.007547,True
KVAL004,14,0.768511,Neck,1.5e-05,-1.5e-05,0.0,0.0,0.000225,0.00675,True
KVAL004,15,0.801833,Neck,0.0,0.0,0.0,0.0,0.000225,0.003375,True
KVAL004,16,0.835177,Neck,0.0,0.0,0.0,0.0,0.0,0.003375,True
KVAL004,17,0.868511,Neck,0.0,0.0,0.0,0.0,0.0,0.0,True
KVAL004,18,0.901844,Neck,0.0,0.0,0.0,0.0,0.0,0.689269,True
KVAL004,19,0.935177,Neck,0.0,0.0,0.0,0.0,0.045951,0.689269,True
KVAL004,20,0.968522,Neck,0.003063,-0.000525,-0.00183,-0.0024,0.045951,1.378538,True
KVAL004,21,1.001833,Neck,0.003063,-0.000525,-0.00183,-0.0024,0.045951,1.378538,True
KVAL004,22,1.035177,Neck,0.0,0.0,0.0,0.0,0.045951,1.30303,True
KVAL004,23,1.0685,Neck,0.0,0.0,0.0,0.0,0.053828,1.474566,True
KVAL004,24,1.101833,Neck,0.003589,0.002205,-0.00273,-0.00075,0.065868,1.435058,True
KVAL004,25,1.135166,Neck,0.004391,0.0027,-0.0033,-0.00105,0.041872,0.942181,True
KVAL004,26,1.1685,Neck,0.000812,0.000495,-0.00057,-0.0003,0.03294,35.416123,True
KVAL004,27,1.201844,Neck,0.005538,0.001845,-0.00447,-0.0027,2.32676,25.129476,True
KVAL004,28,1.235177,Neck,0.155742,0.00825,-0.15453,-0.01755,1.691337,98.289859,True
KVAL004,29,1.2685,Neck,0.116712,0.062265,-0.02103,-0.09645,4.332963,47.842012,True
KVAL004,30,1.301844,Neck,0.155338,0.052245,0.124875,-0.0762,1.588675,101.656069,True
KVAL004,31,1.335177,Neck,0.056325,-0.00693,-0.0513,-0.0222,2.706014,43.042737,True
KVAL004,32,1.368522,Neck,0.141803,0.00288,-0.03777,-0.13665,1.742936,67.676818,True
KVAL004,33,1.401833,Neck,0.087823,0.086745,0.009495,0.0099,2.542474,86.43101,True
KVAL004,34,1.435177,Neck,0.031576,-0.001305,-0.00879,0.0303,4.35932,60.244495,True
KVAL004,35,1.468511,Neck,0.247681,-0.056595,-0.04752,-0.2364,1.80709,106.155833,True
KVAL004,36,1.501844,Neck,0.114608,0.004395,-0.10821,-0.0375,3.005579,58.97426,True
KVAL004,37,1.535177,Neck,0.102355,-0.03435,-0.08715,-0.04125,3.308368,74.780344,True
KVAL004,38,1.568511,Neck,0.210271,-0.06042,0.02652,-0.19965,2.421062,111.742495,True
KVAL004,39,1.601833,Neck,0.141686,0.01977,0.03114,-0.1368,4.646151,73.576914,True
KVAL004,40,1.635177,Neck,0.242338,0.20298,-0.095535,-0.09165,2.872448,113.720689,True
KVAL004,41,1.668511,Neck,0.182026,0.085035,-0.13968,-0.07995,4.155224,80.236889,True
KVAL004,42,1.701844,Neck,0.112292,-0.016155,-0.080025,0.0771,3.992634,84.36343,True
KVAL004,43,1.735166,Neck,0.160035,0.03618,-0.022905,0.1542,1.697556,211.463983,True
KVAL004,44,1.768511,Neck,0.166779,0.06762,-0.146895,0.0408,10.118551,187.167719,True
KVAL004,45,1.801844,Neck,0.559309,0.18288,-0.26079,-0.45975,13.099937,136.79695,True
KVAL004,46,1.835177,Neck,0.860796,0.170925,-0.17145,-0.82605,2.932744,284.004864,True
KVAL004,47,1.868511,Neck,0.646365,0.12198,-0.15828,-0.6147,5.953382,132.517721,True
KVAL004,48,1.901844,Neck,0.465162,0.096795,-0.07008,-0.44955,7.254125,9.328711,True
KVAL004,49,1.935177,Neck,0.203749,0.02856,0.059055,-0.1929,6.203721,86.421747,True
KVAL004,50,1.968511,Neck,0.102428,0.02643,0.072225,-0.06765,1.504907,103.456658,True
KVAL004,51,2.001844,Neck,0.15191,0.02007,0.10749,-0.10545,1.96309,35.09471,True
KVAL004,52,2.035188,Neck,0.228168,0.008745,0.179055,-0.14115,0.966391,69.777821,True
KVAL004,53,2.068511,Neck,0.196081,0.05889,0.102255,-0.1566,2.797774,45.968616,True
KVAL004,54,2.101844,Neck,0.1273,0.07182,0.00732,-0.10485,2.260287,74.492058,True
KVAL004,55,2.135177,Neck,0.059585,0.038175,0.040875,-0.02055,2.621131,36.081263,True
KVAL004,56,2.168522,Neck,0.140016,0.019305,0.13866,-0.00225,1.934369,69.367614,True
KVAL004,57,2.201844,Neck,0.159075,0.06294,0.127035,0.07215,6.056468,63.624281,True
KVAL004,58,2.235177,Neck,0.442707,0.003855,0.195465,0.3972,5.536725,135.623089,True
KVAL004,59,2.268511,Neck,0.468626,-0.062415,0.229215,0.40395,3.571294,159.00636,True
KVAL004,60,2.301844,Neck,0.259371,-0.09843,0.056385,0.23325,5.462051,59.334612,True
KVAL004,61,2.335177,Neck,0.146095,-0.056745,-0.01488,0.1338,5.228398,52.880333,True
KVAL004,62,2.368522,Neck,0.107306,0.03003,-0.0849,-0.05835,2.851841,99.833575,True
KVAL004,63,2.401844,Neck,0.067117,0.00834,-0.052635,-0.0408,1.612319,68.459351,True
KVAL004,64,2.435177,Neck,0.007929,0.006705,0.003675,-0.0021,1.882365,46.163617,True
