prev_frame,curr_frame,mean_jump_m,max_jump_m,max_jump_joint
1,2,0.0094,0.0281,HIP_RIGHT
2,3,0.0042,0.0102,FOOT_RIGHT
3,4,0.0,0.0,ELBOW_LEFT
4,5,0.0029,0.0065,FOOT_RIGHT
5,6,0.0,0.0,PELVIS
6,7,0.0081,0.0207,HIP_RIGHT
7,8,0.0,0.0001,WRIST_THUMB_RIGHT
8,9,0.0,0.0,PELVIS
9,10,0.0,0.0,PELVIS
10,11,0.0094,0.0406,BICEPS_RIGHT
11,12,0.0001,0.0003,BICEPS_LEFT
12,13,0.0,0.0,PELVIS
13,14,0.0,0.0,WRIST_THUMB_LEFT
14,15,0.0,0.0,BICEPS_LEFT
15,16,0.0,0.0,PELVIS
16,17,0.0001,0.0005,BICEPS_LEFT
17,18,0.0012,0.0049,BICEPS_LEFT
18,19,0.0,0.0002,BICEPS_LEFT
19,20,0.0,0.0,PELVIS
20,21,0.0011,0.0045,BICEPS_LEFT
21,22,0.0,0.0001,BICEPS_LEFT
22,23,0.0,0.0,PELVIS
23,24,0.0,0.0,PELVIS
24,25,0.0,0.0,PELVIS
25,26,0.0,0.0,PELVIS
26,27,0.0098,0.0238,BICEPS_RIGHT
27,28,0.0005,0.0014,HIP_RIGHT
28,29,0.0019,0.0046,EAR_RIGHT
29,30,0.0,0.0,HIP_RIGHT
30,31,0.0198,0.0597,NOSE
31,32,0.0089,0.0497,WRIST_LEFT
32,33,0.0359,0.0793,NOSE
33,34,0.0265,0.0826,ANKLE_LEFT
34,35,0.0504,0.1081,NOSE
35,36,0.0637,0.1973,EYE_RIGHT
36,37,0.0004,0.002,EAR_RIGHT
37,38,0.0413,0.121,EAR_RIGHT
38,39,0.0224,0.0877,EAR_RIGHT
39,40,0.023,0.0795,EAR_RIGHT
40,41,0.0241,0.071,FOOT_LEFT
41,42,0.0189,0.0507,EAR_RIGHT
42,43,0.014,0.0452,NOSE
43,44,0.0142,0.0332,EAR_RIGHT
44,45,0.011,0.0312,HIP_RIGHT
45,46,0.0105,0.0321,KNEE_RIGHT
46,47,0.0208,0.055,EAR_RIGHT
47,48,0.0149,0.0532,EAR_RIGHT
48,49,0.0396,0.2745,EAR_LEFT
49,50,0.0213,0.1403,EAR_LEFT
50,51,0.0254,0.1639,EAR_LEFT
51,52,0.0089,0.0393,NOSE
52,53,0.0205,0.1217,EAR_LEFT
53,54,0.0184,0.0716,EAR_LEFT
54,55,0.006,0.0315,EAR_RIGHT
55,56,0.0002,0.0019,KNEE_RIGHT
56,57,0.0262,0.1455,EAR_LEFT
57,58,0.0118,0.0769,EAR_LEFT
58,59,0.0198,0.0839,EAR_LEFT
59,60,0.0212,0.0699,EAR_RIGHT
60,61,0.0066,0.0243,EAR_RIGHT
61,62,0.012,0.0348,EAR_RIGHT
62,63,0.0099,0.0304,NOSE
63,64,0.0105,0.0274,NOSE
64,65,0.0062,0.0162,KNEE_RIGHT
65,66,0.0041,0.013,FOOT_LEFT
66,67,0.0053,0.018,FOOT_LEFT
67,68,0.0011,0.0038,KNEE_RIGHT
68,69,0.0001,0.0005,HIP_RIGHT
69,70,0.0056,0.0166,ANKLE_LEFT
70,71,0.0,0.0001,HIP_RIGHT
71,72,0.0069,0.0243,HIP_RIGHT
72,73,0.0,0.0,HIP_RIGHT
73,74,0.0033,0.0105,HIP_RIGHT
74,75,0.0026,0.0068,WRIST_LEFT
75,76,0.0074,0.0157,NOSE
76,77,0.004,0.0077,WRIST_LEFT
77,78,0.0003,0.0007,EAR_RIGHT
78,79,0.0038,0.0085,EAR_RIGHT
79,80,0.0003,0.0008,HIP_RIGHT
80,81,0.0041,0.0161,ANKLE_LEFT
81,82,0.0032,0.0102,KNEE_RIGHT
82,83,0.0031,0.0124,KNEE_RIGHT
83,84,0.0028,0.0139,KNEE_RIGHT
84,85,0.0034,0.0142,KNEE_RIGHT
