frame_index,source_frame_index,body_id,tier,flags,detail,reviewer_decision
35,36,1,WARNING,large_jump: EYE_RIGHT moved 0.197m,,
48,49,1,CRITICAL,CRITICAL_jump: EAR_LEFT moved 0.275m,,
50,51,1,WARNING,large_jump: EAR_LEFT moved 0.164m,,
86,87,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.311m,,
119,120,1,CRITICAL,CRITICAL_jump: HIP_RIGHT moved 0.807m,,
121,122,1,CRITICAL,CRITICAL_jump: SHOULDER_RIGHT moved 0.331m,,
123,124,1,CRITICAL,CRITICAL_jump: SHOULDER_RIGHT moved 0.919m,,
124,125,1,WARNING,large_jump: EAR_RIGHT moved 0.175m,,
152,153,1,CRITICAL,CRITICAL_jump: EYE_RIGHT moved 0.353m,,
195,196,1,WARNING,large_jump: CLAVICLE_RIGHT moved 0.243m,,
196,197,1,WARNING,large_jump: SHOULDER_RIGHT moved 0.169m,,
198,199,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.431m,,
200,201,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.321m,,
202,203,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.404m,,
