bone_name,mean_length_m,std_length_m,cv,stable
neck_to_head,0.8896,0.1769,0.1989,True
neck_to_l_clavicle,0.0446,0.0028,0.0619,True
l_clavicle_to_shoulder,0.1302,0.0081,0.0619,True
l_shoulder_to_elbow,0.2517,0.0156,0.0619,True
l_elbow_to_wrist,0.2113,0.0131,0.0619,True
neck_to_r_clavicle,0.4506,0.0763,0.1692,True
r_clavicle_to_shoulder,0.0984,0.0061,0.0619,True
r_shoulder_to_elbow,0.0905,0.0400,0.4417,False
r_elbow_to_wrist,0.3808,0.0774,0.2033,True
