video_id,frame_index,timestamp_sec,joint_name,speed_ms,velocity_x,velocity_y,velocity_z,accel_ms2,jerk_ms3,reference_valid
KVAL003,0,0.0,Neck,0.074447,-0.05436,-0.05031,-0.0075,2.375166,21.639334,True
KVAL003,1,0.301866,Neck,0.033546,-0.02046,0.01485,0.02205,1.709852,34.415128,True
KVAL003,2,0.3352,Neck,0.048062,0.00672,0.03999,0.0258,0.280038,31.925064,True
KVAL003,3,0.3685,Neck,0.02826,-0.00243,0.01161,0.02565,0.44707,10.504879,True
KVAL003,4,0.401844,Neck,0.028266,-0.00243,0.011625,0.02565,0.702088,11.127782,True
KVAL003,5,0.435166,Neck,0.02063,0.012795,-0.004815,-0.01545,0.708355,14.894553,True
KVAL003,6,0.4685,Neck,0.020963,0.01275,-0.004905,-0.0159,0.304537,15.16047,True
KVAL003,7,0.501844,Neck,0.000461,-4.5e-05,-9e-05,-0.00045,0.314439,5.853645,True
KVAL003,8,0.535177,Neck,0.0,0.0,0.0,0.0,0.419787,5.971035,True
KVAL003,9,0.568522,Neck,0.027951,-0.01263,0.02487,-0.0018,0.415145,12.647355,True
KVAL003,10,0.601855,Neck,0.027676,-0.012405,0.024675,-0.0018,0.4234,12.454352,True
KVAL003,11,0.635188,Neck,0.000298,0.000225,-0.000195,0.0,0.415145,6.403989,True
KVAL003,12,0.668533,Neck,0.0,0.0,0.0,0.0,0.003832,6.218133,True
KVAL003,13,0.701866,Neck,4.2e-05,3e-05,-3e-05,0.0,0.000636,0.260488,True
KVAL003,14,0.735166,Neck,4.2e-05,3e-05,-3e-05,0.0,0.014694,2.138176,True
KVAL003,15,0.7685,Neck,0.001007,0.00042,-0.000525,-0.00075,0.143003,1.570909,True
KVAL003,16,0.801833,Neck,0.009564,0.00345,-0.006315,-0.0063,0.119011,4.21808,True
KVAL003,17,0.835166,Neck,0.008923,0.00318,-0.00594,-0.00585,0.13821,2.202686,True
KVAL003,18,0.8685,Neck,0.000367,0.00015,-0.00015,-0.0003,0.03564,3.754628,True
KVAL003,19,0.901833,Neck,0.007435,0.002865,-0.003585,-0.00585,0.113786,1.350843,True
KVAL003,20,0.935166,Neck,0.007952,0.002985,-0.003825,-0.0063,0.103797,3.495927,True
KVAL003,21,0.9685,Neck,0.000524,0.00012,-0.00024,-0.00045,0.119277,1.441303,True
KVAL003,22,1.001833,Neck,0.0,0.0,0.0,0.0,0.007859,1.789151,True
KVAL003,23,1.035177,Neck,0.0,0.0,0.0,0.0,0.0,10.541595,True
KVAL003,24,1.0685,Neck,0.0,0.0,0.0,0.0,0.702649,10.731959,True
KVAL003,25,1.101844,Neck,0.046843,0.012855,-0.03849,0.0234,0.715464,22.75695,True
KVAL003,26,1.135166,Neck,0.047698,0.01305,-0.041385,0.0198,0.865593,22.493681,True
KVAL003,27,1.168511,Neck,0.028616,-0.00273,-0.01239,-0.02565,0.823097,9.032716,True
KVAL003,28,1.201833,Neck,0.024039,-0.002895,-0.00948,-0.0219,1.169484,10.00854,True
KVAL003,29,1.235177,Neck,0.089982,0.006825,0.044865,-0.0777,1.264668,62.891493,True
KVAL003,30,1.2685,Neck,0.100147,0.011985,0.03045,-0.09465,4.896997,33.232224,True
KVAL003,31,1.301833,Neck,0.407172,0.02208,0.0474,-0.4038,2.519144,89.984551,True
KVAL003,32,1.335177,Neck,0.230767,0.169605,0.03552,-0.1524,1.167057,187.055795,True
KVAL003,33,1.368511,Neck,0.336098,0.046635,0.042285,-0.33015,11.975427,33.625854,True
KVAL003,34,1.401844,Neck,0.892438,-0.176175,0.101655,-0.86895,1.816829,469.41266,True
KVAL003,35,1.435177,Neck,0.312479,-0.07092,0.03282,-0.30255,19.796351,156.129652,True
KVAL003,36,1.4685,Neck,0.445771,-0.045225,-0.132225,0.4233,10.57579,428.304161,True
KVAL003,37,1.501844,Neck,0.403975,-0.02589,-0.12645,0.3828,8.895112,302.604101,True
KVAL003,38,1.535177,Neck,0.157016,0.021045,-0.01716,-0.15465,9.65095,126.620401,True
KVAL003,39,1.568511,Neck,0.276686,-0.073035,-0.073155,-0.25665,1.308872,197.077261,True
KVAL003,40,1.601844,Neck,0.205503,-0.05397,-0.00744,-0.19815,4.240591,55.144083,True
KVAL003,41,1.635177,Neck,0.090057,0.015135,0.08088,-0.0366,2.798715,85.152285,True
KVAL003,42,1.6685,Neck,0.048051,-0.038445,0.024615,-0.015,1.685101,50.916084,True
