joint_name,mean_confidence,median_confidence,std_confidence,count_none,count_low,count_medium,count_high,total,reference_valid_ratio
PELVIS,2.000,2.000,0.000,0,0,231,0,231,1.0000
SPINE_NAVAL,2.000,2.000,0.000,0,0,231,0,231,1.0000
SPINE_CHEST,2.000,2.000,0.000,0,0,231,0,231,1.0000
NECK,2.000,2.000,0.000,0,0,231,0,231,1.0000
CLAVICLE_LEFT,2.000,2.000,0.000,0,0,231,0,231,1.0000
SHOULDER_LEFT,2.000,2.000,0.000,0,0,231,0,231,1.0000
ELBOW_LEFT,1.887,2.000,0.316,0,26,205,0,231,0.8874
WRIST_LEFT,1.312,1.000,0.463,0,159,72,0,231,0.3117
CLAVICLE_RIGHT,1.147,1.000,0.354,0,197,34,0,231,0.1472
SHOULDER_RIGHT,1.069,1.000,0.254,0,215,16,0,231,0.0693
ELBOW_RIGHT,1.126,1.000,0.331,0,202,29,0,231,0.1255
WRIST_RIGHT,2.000,2.000,0.000,0,0,231,0,231,1.0000
HIP_LEFT,2.000,2.000,0.000,0,0,231,0,231,1.0000
KNEE_LEFT,1.991,2.000,0.093,0,2,229,0,231,0.9913
ANKLE_LEFT,1.991,2.000,0.093,0,2,229,0,231,0.9913
FOOT_LEFT,1.983,2.000,0.130,0,4,227,0,231,0.9827
HIP_RIGHT,1.965,2.000,0.183,0,8,223,0,231,0.9654
KNEE_RIGHT,1.970,2.000,0.171,0,7,224,0,231,0.9697
ANKLE_RIGHT,1.957,2.000,0.204,0,10,221,0,231,0.9567
FOOT_RIGHT,1.000,1.000,0.000,0,231,0,0,231,0.0000
HEAD,1.000,1.000,0.000,0,231,0,0,231,0.0000
NOSE,1.000,1.000,0.000,0,231,0,0,231,0.0000
EYE_LEFT,1.978,2.000,0.146,0,5,226,0,231,0.9784
EAR_LEFT,1.502,2.000,0.500,0,115,116,0,231,0.5022
EYE_RIGHT,1.242,1.000,0.429,0,175,56,0,231,0.2424
EAR_RIGHT,1.134,1.000,0.341,0,200,31,0,231,0.1342
WRIST_THUMB_LEFT,2.000,2.000,0.000,0,0,231,0,231,1.0000
BICEPS_LEFT,1.991,2.000,0.093,0,2,229,0,231,0.9913
WRIST_THUMB_RIGHT,1.952,2.000,0.213,0,11,220,0,231,0.9524
BICEPS_RIGHT,1.922,2.000,0.268,0,18,213,0,231,0.9221
BACK_LEFT,1.991,2.000,0.093,0,2,229,0,231,0.9913
BACK_RIGHT,1.991,2.000,0.093,0,2,229,0,231,0.9913
